Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1,,Wireless & Memory,Modules,Cellular Module,L718-CN,LTE-TDD/WCDMA/GSM Module,FIBOCOM WIRELESS INC.,Tape reel,Lead time,8 Weeks,,1,500,,,Yes,EAR 99,,,China,L718
2,,Wireless & Memory,Modules,Cellular Module,L610-CN,LTE-FDM/WCDMA/GSM Module,FIBOCOM WIRELESS INC.,Tape reel,Lead time,8 Weeks,,1,500,,,Yes,EAR 99,,,China,L610
3,,Wireless & Memory,Modules,Cellular Module,MA510-GL,"LTE-M, NB-IoT, GSM Module",FIBOCOM WIRELESS INC.,Tape reel,Lead time,8 Weeks,,1,500,,,Yes,EAR 99,,,China,MA510
4,,Wireless & Memory,Modules,NAVIGATION,TAU1205,GNSS/IRNSS Module,ALLYSTAR TECHNOLOGY (SHENZHEN) CO. LTD. ,Tape reel,Lead time,8 Weeks,,1,1000,,,Yes,EAR 99,,,China,TAU120X
5,,Wireless & Memory,Modules,NAVIGATION,TAU1202,GNSS Modules ,ALLYSTAR TECHNOLOGY (SHENZHEN) CO. LTD. ,Tape reel,Lead time,8 Weeks,,1,1000,,,Yes,EAR 99,,https://www.allystar.com/en/index.php?g=&m=news&a=mouldinfo&id=20,China,TAU120X
6,,Wireless & Memory,Modules,Cellular Module,C10AM,LTE Cat1 / GSM Module ,CAVLI WIRELESS,Tape reel,Lead time,10 weeks,,1,500,,,Yes,EAR 99,,https://www.cavliwireless.com/products/c10am/,US ,C10
7,,Wireless & Memory,Modules,NAVIGATION,C10AM-G,LTE Cat1 + GNSS Module ,CAVLI WIRELESS,Tape reel,Lead time,10 weeks,,1,500,,,Yes,EAR 99,,https://www.cavliwireless.com/products/c10am-g/,US ,C10
8,,Wireless & Memory,Modules,Cellular Module,C100AM,LLE Cat4/3G/2G Module ,CAVLI WIRELESS,Tape reel,Lead time,10 weeks,,1,500,,,Yes,EAR 99,,https://www.cavliwireless.com/products/c100am/,US ,C100
9,,Wireless & Memory,Modules,Cellular Module,C42GM,LTE CatM1/NB2 Module,CAVLI WIRELESS,Tape reel,Lead time,10 weeks,,1,500,,,Yes,EAR 99,,https://www.cavliwireless.com/products/C42GM/,US ,C42
10,https://www.mouser.in/images/taoglas/lrg/tg-55-8113_DSL.jpg,Wireless & Memory,Antenna,cellular Antenna,TG.55.8113,5G/4G Terminal Mount Monopole Antenna,TAOGLAS,,Lead time,8 Weeks,,100,100,,,Yes,EAR 99,,https://www.taoglas.com/datasheets/TG.55.8113.pdf,Taiwan,TG
11,https://www.mouser.in/images/taoglas/lrg/FXUB63.07.0150C.jpg,Wireless & Memory,Antenna,cellular Antenna,FXUB63.07.0150C,2G/3G/4G Wideband 698-3000MHz Flexible PCB Antenna,TAOGLAS,,Lead time,8 Weeks,,100,100,,,Yes,EAR 99,,https://www.taoglas.com/datasheets/FXUB63.07.0150C.pdf,Taiwan,FXUB
12,https://www.mouser.in/images/taoglas/lrg/PCS_06_A_DSL.jpg,Wireless & Memory,Antenna,cellular Antenna,PCS.06.A,Low Profile LTE/Cellular 4G/3G/2G SMD Dielectric Antenna,TAOGLAS,Reel,Lead time,8 Weeks,,100,100,,,Yes,EAR 99,,https://www.taoglas.com/datasheets/PCS.06.A.pdf,Taiwan,PCS06
13,https://www.mouser.in/images/taoglas/lrg/AA_200_151111_SPL.jpg,Wireless & Memory,Antenna,GNSS Antenna,AA.200.151111,MagmaX2 Active Multiband GNSS Magnetic Mount Antenna,TAOGLAS,,Lead time,8 Weeks,,100,100,,,Yes,EAR 99,,https://www.taoglas.com/datasheets/AA.200.151111.pdf,Taiwan,AA200 
14,https://www.mouser.in/images/taoglas/lrg/ADFGP.25A.07.0060A_SPL.jpg,Wireless & Memory,Antenna,GNSS Antenna,ADFGP.25A.07.0060A,Embedded Dual Pin Active GNSS Patch Antenna,TAOGLAS,,Lead time,8 Weeks,,100,100,,,Yes,EAR 99,,https://www.taoglas.com/datasheets/ADFGP.25A.07.0060A.pdf,Taiwan,ADFGP25
15,https://www.mouser.in/images/taoglas/lrg/GPVSF.25.8.A.08_SPL.jpg,Wireless & Memory,Antenna,GNSS Antenna,GPVSF.25.8.A.08,25*25*8mm GNSS + IRNSS Single Feed Stacked Patch Antenna,TAOGLAS,,Lead time,8 Weeks,,100,100,,,Yes,EAR 99,,https://www.taoglas.com/datasheets/GPVSF.25.8.A.08.pdf,Taiwan,GPVSF25
16,https://www.mouser.in/images/taoglas/lrg/gw.51.5153_SPL.jpg,Wireless & Memory,Antenna,WiFi & Bluetooth,GW.51.5153,5dBi 2.4/5.8GHz Wi-Fi Terminal Mount Dipole Antenna,TAOGLAS,,Lead time,8 Weeks,,100,100,,,Yes,EAR 99,,https://www.taoglas.com/datasheets/GW.51.5153.pdf,Taiwan,GW
