Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1,https://www.digikey.com/Renders/Alliance%20Memory%20Renders/1450~8SO-3.9~MN~8.jpg,Wireless & Memory,Memory IC,FLASH,N25Q032A13ESC40F,IC FLASH 32MBIT SPI 108MHZ 8SO,"ALLIANCE MEMORY, INC.",Tape and Reel,Lead time,14 Weeks,,"2,500","2,500",,"{""Memory Type"":"" Non-Volatile"","" Memory Format"":"" FLASH"","" Technology"":"" FLASH - NOR"","" Memory Size"":"" 32Mb (8M x 4)"","" Memory Interface"":"" SPI"","" Clock Frequency"":"" 108MHz"","" Write Cycle Time - Word"","" Page"":"" 5ms"","" Voltage - Supply"":"" 27V ~ 36V"","" Operating Temperature"":"" -40C ~ 85C (TA)"","" Mounting Type"":"" Surface Mount"","" Package / Case"":"" 8-SOIC (0154"""","" 390mm Width)"","" Supplier Device Package"":"" 8-SO"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 3  (168 Hours)"","" Standard Package"":"" 2"",""500"","" Other Names"":"" 1450-N25Q032A13ESC40FTR""}",Yes,EAR99,85423100,,,
2,https://www.digikey.com/Renders/Alliance%20Memory%20Renders/1450~8SO-3.9~MN~8.jpg,Wireless & Memory,Memory IC,FLASH,N25Q032A13ESC40F,IC FLASH 32MBIT SPI 108MHZ 8SO,"ALLIANCE MEMORY, INC.",Reel,Lead time,14 Weeks,,1,1,,"{""Memory Type"":"" Non-Volatile"","" Memory Format"":"" FLASH"","" Technology"":"" FLASH - NOR"","" Memory Size"":"" 32Mb (8M x 4)"","" Memory Interface"":"" SPI"","" Clock Frequency"":"" 108MHz"","" Write Cycle Time - Word"","" Page"":"" 5ms"","" Voltage - Supply"":"" 27V ~ 36V"","" Operating Temperature"":"" -40C ~ 85C (TA)"","" Mounting Type"":"" Surface Mount"","" Package / Case"":"" 8-SOIC (0154"""","" 390mm Width)"","" Supplier Device Package"":"" 8-SO"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 3  (168 Hours)"","" Standard Package"":"" 1"","" Other Names"":"" 1450-N25Q032A13ESC40FDKR""}",Yes,EAR99,85423100,,,
3,https://www.digikey.com/Renders/Alliance%20Memory%20Renders/1450;%2086TSOPII;%20T;%2086.jpg,Wireless & Memory,Memory IC,DRAM,AS4C2M32SA-6TCN,IC DRAM 64MBIT PAR 86TSOP II,"ALLIANCE MEMORY, INC.",Tray,Lead time,14 Weeks,,108,108,,"{""Memory Type"":"" Volatile"","" Memory Format"":"" DRAM"","" Technology"":"" SDRAM"","" Memory Size"":"" 64Mb (2M x 32)"","" Memory Interface"":"" Parallel"","" Clock Frequency"":"" 166MHz"","" Write Cycle Time - Word"","" Page"":"" 2ns"","" Access Time"":"" 55ns"","" Voltage - Supply"":"" 3V ~ 36V"","" Operating Temperature"":"" 0C ~ 70C (TA)"","" Mounting Type"":"" Surface Mount"","" Package / Case"":"" 86-TFSOP (0400"""","" 1016mm Width)"","" Supplier Device Package"":"" 86-TSOP II"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 3  (168 Hours)"","" Standard Package"":"" 108"","" Other Names"":"" 1450-1283""}",Yes,EAR99,85423100,https://www.alliancememory.com/wp-content/uploads/pdf/dram/64M-AS4C2M32SA%20v.1.0.pdf,,High-Speed CMOS SDRAMs
4,https://www.digikey.com/Renders/Alliance%20Memory%20Renders/1450~8SO-3.9~MN~8.jpg,Wireless & Memory,Memory IC,FLASH,N25Q032A13ESC40F,IC FLASH 32MBIT SPI 108MHZ 8SO,"ALLIANCE MEMORY, INC.",Tape,Lead time,14 Weeks,,1,1,,"{""Memory Type"":"" Non-Volatile"","" Memory Format"":"" FLASH"","" Technology"":"" FLASH - NOR"","" Memory Size"":"" 32Mb (8M x 4)"","" Memory Interface"":"" SPI"","" Clock Frequency"":"" 108MHz"","" Write Cycle Time - Word"","" Page"":"" 5ms"","" Voltage - Supply"":"" 27V ~ 36V"","" Operating Temperature"":"" -40C ~ 85C (TA)"","" Mounting Type"":"" Surface Mount"","" Package / Case"":"" 8-SOIC (0154"""","" 390mm Width)"","" Supplier Device Package"":"" 8-SO"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 3  (168 Hours)"","" Standard Package"":"" 1"","" Other Names"":"" 1450-N25Q032A13ESC40FCT""}",Yes,EAR99,85423100,,,
5,https://www.digikey.com/Renders/Alliance%20Memory%20Renders/1450;%2054TSOPII;%20T;%2054.jpg,Wireless & Memory,Memory IC,DRAM,AS4C8M16SA-7TCN,IC DRAM 128MBIT PAR 54TSOP II,"ALLIANCE MEMORY, INC.",Tray,Lead time,14 Weeks,,108,108,,"{""Memory Type"":"" Volatile"","" Memory Format"":"" DRAM"","" Technology"":"" SDRAM"","" Memory Size"":"" 128Mb (8M x 16)"","" Memory Interface"":"" Parallel"","" Clock Frequency"":"" 143MHz"","" Write Cycle Time - Word"","" Page"":"" 14ns"","" Access Time"":"" 54ns"","" Voltage - Supply"":"" 3V ~ 36V"","" Operating Temperature"":"" 0C ~ 70C (TA)"","" Mounting Type"":"" Surface Mount"","" Package / Case"":"" 54-TSOP (0400"""","" 1016mm Width)"","" Supplier Device Package"":"" 54-TSOP II"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 3  (168 Hours)"","" Standard Package"":"" 108"","" Other Names"":"" 1450-1269""}",Yes,EAR99,85423100,https://www.alliancememory.com/wp-content/uploads/pdf/dram/128M-AS4C8M16SA.pdf,,
6,"https://www.digikey.com/Renders/Alliance%20Memory%20Renders/1450~28PDIP-15,24~P~28.jpg",Wireless & Memory,Memory IC,SRAM,AS6C6264-55PCN,IC SRAM 64KBIT PARALLEL 28DIP,"ALLIANCE MEMORY, INC.",Tube,Lead time,14 Weeks,,15,15,,"{""Memory Type"":"" Volatile"","" Memory Format"":"" SRAM"","" Technology"":"" SRAM - Asynchronous"","" Memory Size"":"" 64Kb (8K x 8)"","" Memory Interface"":"" Parallel"","" Write Cycle Time - Word"","" Page"":"" 55ns"","" Access Time"":"" 55ns"","" Voltage - Supply"":"" 27V ~ 55V"","" Operating Temperature"":"" 0C ~ 70C (TA)"","" Mounting Type"":"" Through Hole"","" Package / Case"":"" 28-DIP (0600"""","" 1524mm)"","" Supplier Device Package"":"" 28-PDIP"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 15"","" Other Names"":"" 1450-1036""}",Yes,EAR99,85423100,https://www.alliancememory.com/wp-content/uploads/pdf/Alliance%20Memory_64K_AS6C6264v2.0July2017.pdf,,
7,"https://www.digikey.com/Renders/Alliance%20Memory%20Renders/1450~28PDIP-15,24~P~28.jpg",Wireless & Memory,Memory IC,SRAM,AS6C62256-55PCN,IC SRAM 256KBIT PARALLEL 28DIP,"ALLIANCE MEMORY, INC.",Tube,Lead time,14 Weeks,,15,15,,"{""Memory Type"":"" Volatile"","" Memory Format"":"" SRAM"","" Technology"":"" SRAM - Asynchronous"","" Memory Size"":"" 256Kb (32K x 8)"","" Memory Interface"":"" Parallel"","" Write Cycle Time - Word"","" Page"":"" 55ns"","" Access Time"":"" 55ns"","" Voltage - Supply"":"" 27V ~ 55V"","" Operating Temperature"":"" 0C ~ 70C (TA)"","" Mounting Type"":"" Through Hole"","" Package / Case"":"" 28-DIP (0600"""","" 1524mm)"","" Supplier Device Package"":"" 28-PDIP"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 15"","" Other Names"":"" 1450-1033""}",Yes,EAR99,85423100,https://www.alliancememory.com/wp-content/uploads/pdf/AS6C62256.pdf,,Drop-In Replacements for CY62256 Low-Power SRAMs
8,https://www.digikey.com/Renders/Alliance%20Memory%20Renders/1450;%2032SOP;%20S;%2032.jpg,Wireless & Memory,Memory IC,SRAM,AS6C4008-55SINTR,IC SRAM 4MBIT PARALLEL 32SOP,"ALLIANCE MEMORY, INC.",Tape and Reel,Lead time,14 Weeks,,"1,000","1,000",,"{""Memory Type"":"" Volatile"","" Memory Format"":"" SRAM"","" Technology"":"" SRAM - Asynchronous"","" Memory Size"":"" 4Mb (512K x 8)"","" Memory Interface"":"" Parallel"","" Write Cycle Time - Word"","" Page"":"" 55ns"","" Access Time"":"" 55ns"","" Voltage - Supply"":"" 27V ~ 55V"","" Operating Temperature"":"" -40C ~ 85C (TA)"","" Mounting Type"":"" Surface Mount"","" Package / Case"":"" 32-SOIC (0445"""","" 1130mm Width)"","" Supplier Device Package"":"" 32-SOP"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 3  (168 Hours)"","" Standard Package"":"" 1"",""000"","" Other Names"":"" 1450-AS6C4008-55SINTR""}",Yes,EAR99,85423100,https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf,,
9,https://www.digikey.com/Renders/Alliance%20Memory%20Renders/1450;%2032PDIP-600;%20P;%2032.jpg,Wireless & Memory,Memory IC,SRAM,AS6C1008-55PCN,IC SRAM 1MBIT PARALLEL 32DIP,"ALLIANCE MEMORY, INC.",Tube,Lead time,14 Weeks,,13,13,,"{""Memory Type"":"" Volatile"","" Memory Format"":"" SRAM"","" Technology"":"" SRAM - Asynchronous"","" Memory Size"":"" 1Mb (128K x 8)"","" Memory Interface"":"" Parallel"","" Write Cycle Time - Word"","" Page"":"" 55ns"","" Access Time"":"" 55ns"","" Voltage - Supply"":"" 27V ~ 55V"","" Operating Temperature"":"" 0C ~ 70C (TA)"","" Mounting Type"":"" Through Hole"","" Package / Case"":"" 32-DIP (0600"""","" 1524mm)"","" Supplier Device Package"":"" 32-PDIP"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 13"","" Other Names"":"" 1450-1017""}",Yes,EAR99,85423100,https://www.alliancememory.com/wp-content/uploads/pdf/AS6C1008feb2007.pdf,,
10,https://www.digikey.com/Renders/Alliance%20Memory%20Renders/1450;%2032SOP;%20S;%2032.jpg,Wireless & Memory,Memory IC,SRAM,AS6C4008-55SINTR,IC SRAM 4MBIT PARALLEL 32SOP,"ALLIANCE MEMORY, INC.",Tape,Lead time,14 Weeks,,1,1,,"{""Memory Type"":"" Volatile"","" Memory Format"":"" SRAM"","" Technology"":"" SRAM - Asynchronous"","" Memory Size"":"" 4Mb (512K x 8)"","" Memory Interface"":"" Parallel"","" Write Cycle Time - Word"","" Page"":"" 55ns"","" Access Time"":"" 55ns"","" Voltage - Supply"":"" 27V ~ 55V"","" Operating Temperature"":"" -40C ~ 85C (TA)"","" Mounting Type"":"" Surface Mount"","" Package / Case"":"" 32-SOIC (0445"""","" 1130mm Width)"","" Supplier Device Package"":"" 32-SOP"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 3  (168 Hours)"","" Standard Package"":"" 1"","" Other Names"":"" 1450-AS6C4008-55SINCT""}",Yes,EAR99,85423100,https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf,,
11,https://www.digikey.com/Renders/Alliance%20Memory%20Renders/1450;%2032SOP;%20S;%2032.jpg,Wireless & Memory,Memory IC,SRAM,AS6C4008-55SINTR,IC SRAM 4MBIT PARALLEL 32SOP,"ALLIANCE MEMORY, INC.",Reel,Lead time,14 Weeks,,1,1,,"{""Memory Type"":"" Volatile"","" Memory Format"":"" SRAM"","" Technology"":"" SRAM - Asynchronous"","" Memory Size"":"" 4Mb (512K x 8)"","" Memory Interface"":"" Parallel"","" Write Cycle Time - Word"","" Page"":"" 55ns"","" Access Time"":"" 55ns"","" Voltage - Supply"":"" 27V ~ 55V"","" Operating Temperature"":"" -40C ~ 85C (TA)"","" Mounting Type"":"" Surface Mount"","" Package / Case"":"" 32-SOIC (0445"""","" 1130mm Width)"","" Supplier Device Package"":"" 32-SOP"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 3  (168 Hours)"","" Standard Package"":"" 1"","" Other Names"":"" 1450-AS6C4008-55SINDKR""}",Yes,EAR99,85423100,https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf,,
12,https://www.digikey.com/Renders/Alliance%20Memory%20Renders/1450;%2054TSOPII;%20T;%2054.jpg,Wireless & Memory,Memory IC,DRAM,AS4C8M16SA-6TIN,IC DRAM 128MBIT PAR 54TSOP II,"ALLIANCE MEMORY, INC.",Tray,Lead time,14 Weeks,,108,108,,"{""Memory Type"":"" Volatile"","" Memory Format"":"" DRAM"","" Technology"":"" SDRAM"","" Memory Size"":"" 128Mb (8M x 16)"","" Memory Interface"":"" Parallel"","" Clock Frequency"":"" 166MHz"","" Write Cycle Time - Word"","" Page"":"" 12ns"","" Access Time"":"" 5ns"","" Voltage - Supply"":"" 3V ~ 36V"","" Operating Temperature"":"" -40C ~ 85C (TA)"","" Mounting Type"":"" Surface Mount"","" Package / Case"":"" 54-TSOP (0400"""","" 1016mm Width)"","" Supplier Device Package"":"" 54-TSOP II"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 3  (168 Hours)"","" Standard Package"":"" 108"","" Other Names"":"" 1450-1267""}",Yes,EAR99,85423100,https://www.alliancememory.com/wp-content/uploads/pdf/dram/128M-AS4C8M16SA.pdf,,
