Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1,,Passive Components,Switches,Tactile Switches,LS75C2D7,SWITCH TACT SPS 0.02A 12V SMD,"CITIZEN FINE DEVICE CO., LTD.",Tape and Reel,Lead time,13 Weeks,,"5,000","5,000",,"{""Circuit"":"" SPST-NO"","" Switch Function"":"" Off-Mom"","" Contact Rating @ Voltage"":"" 002A @ 12VDC"","" Actuator Type"":"" Standard"","" Actuator Height off PCB"","" Vertical"":"" 050mm"","" Actuator Length"","" Right Angle"":"" -"","" Actuator Orientation"":"" Top Actuated"","" Termination Style"":"" SMD (SMT) Tab"","" Outline"":"" 280mm x 190mm"","" Illumination"":"" Non-Illuminated"","" Illumination Type"","" Color"":"" -"","" Illumination Voltage (Nominal)"":"" -"","" Operating Force"":"" 163gf"","" Ingress Protection"":"" IP67 - Dust Tight"","" Waterproof"","" Features"":"" -"","" Operating Temperature"":"" -"","" Actuator Material"":"" -"","" Switch Travel"":"" 015mm"","" Mechanical Life"":"" 300"",""000 Cycles"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 5"",""000"","" Other Names"":"" 1642-LS75C2D7TR}",No,EAR99,85365090,,,
2,https://www.digikey.com/Photos/Citizen/MFG_CL-194S-WS-SD.jpg,Passive Components,Optoelectronics,LED Indication - Discrete,CL-194S-WS-SD-T,LED WHITE SMD,"CITIZEN FINE DEVICE CO., LTD.",Tape and Reel,Lead time,12 Weeks,,"5,000","5,000",,"{""Color"":"" White"","" Configuration"":"" Standard"","" Lens Color"":"" -"","" Lens Transparency"":"" -"","" Millicandela Rating"":"" 260mcd"","" Lens Style"":"" Rectangle with Flat Top"","" Lens Size"":"" 110mm x 080mm"","" Voltage - Forward (Vf) (Typ)"":"" 29V"","" Current - Test"":"" 5mA"","" Viewing Angle"":"" -"","" Mounting Type"":"" Surface Mount"","" Wavelength - Dominant"":"" -"","" Wavelength - Peak"":"" -"","" Features"":"" -"","" Package / Case"":"" 0603 (1608 Metric)"","" Supplier Device Package"":"" -"","" Size / Dimension"":"" 160mm L x 080mm W"","" Height (Max)"":"" 030mm"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 3  (168 Hours)"","" Standard Package"":"" 5"",""000"","" Other Names"":"" 1642-1490-2}",Yes,EAR99,90318000,http://ce.citizen.co.jp/up_img/product/WBtpQ6f1JXom/CL-194S.pdf,,
3,https://www.digikey.com/Photos/Crystek%20Photos/CSX750F7%20SERIES.JPG,Passive Components,"Crystals, Oscillators, Resonators",Oscillators,CSX-750FCC14745600T,XTAL OSC XO 14.7456MHZ CMOS TTL,"CITIZEN FINE DEVICE CO., LTD.",Tape and Reel,Lead time,29 Weeks,,"1,000","1,000",,"{""Base Resonator"":"" Crystal"","" Type"":"" XO (Standard)"","" Frequency"":"" 147456MHz"","" Function"":"" Enable/Disable"","" Output"":"" CMOS"","" TTL"","" Voltage - Supply"":"" 5V"","" Frequency Stability"":"" 100ppm"","" Absolute Pull Range (APR)"":"" -"","" Operating Temperature"":"" -20C ~ 70C"","" Spread Spectrum Bandwidth"":"" -"","" Current - Supply (Max)"":"" 25mA"","" Ratings"":"" -"","" Mounting Type"":"" Surface Mount"","" Package / Case"":"" 4-SMD"","" No Lead"","" Size / Dimension"":"" 0276"" L x 0197"" W (700mm x 500mm)"","" Height - Seated (Max)"":"" 0063"" (160mm)"","" Current - Supply (Disable) (Max)"":"" 10mA"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 1"",""000"","" Other Names"":"" 300-7209-2}",Yes,EAR99,85441190,https://cfd.citizen.co.jp:443/english/wp-content/themes/cfd/dist/pdf/datasheet_Oscillator/CSX-750F_E.pdf,,
4,https://www.digikey.com/photos/Citizen%20Amer%20Photos/CFS206%20series.jpg,Passive Components,"Crystals, Oscillators, Resonators",Crystals,CFS-20632768DZBB,CRYSTAL 32.7680KHZ 6PF TH,"CITIZEN FINE DEVICE CO., LTD.",Bulk,Lead time,,,"1,000","1,000",,"{""Type"":"" kHz Crystal (Tuning Fork)"","" Frequency"":"" 32768kHz"","" Frequency Stability"":"" -"","" Frequency Tolerance"":"" 20ppm"","" Load Capacitance"":"" 6pF"","" ESR (Equivalent Series Resistance)"":"" 35 kOhms"","" Operating Mode"":"" Fundamental"","" Operating Temperature"":"" -20C ~ 70C"","" Ratings"":"" -"","" Mounting Type"":"" Through Hole"","" Package / Case"":"" Cylindrical Can"","" Radial"","" Size / Dimension"":"" 0075"" Dia (190mm)"","" Height - Seated (Max)"":"" 0244"" (620mm)"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 1"",""000"","" Other Names"":"" 300-8301}",Yes,EAR99,85441190,https://cfd.citizen.co.jp:443/english/wp-content/themes/cfd/dist/pdf/datasheet_TF/CFS-206_CFS-145_E.pdf,,
5,https://www.digikey.com/Photos/Citizen%20Finetech%20Miyota/MFG_SSX-750P_Series.jpg,Passive Components,"Crystals, Oscillators, Resonators",Programmable Oscillators,SSX-750PBB,XTAL OSC PROG XO CMOS 3.3V 50PPM,"CITIZEN FINE DEVICE CO., LTD.",Strip,Lead time,,,1,1,,"{""Base Resonator"":"" Quantity"","" Type"":"" "","" Programmable Type"":"" "","" Available Frequency Range"":"" "","" Function"":"" "","" Output"":"" 1"","" Voltage - Supply"":"" 10"","" Frequency Stability"":"" 50"","" Frequency Stability (Total)"":"" 100"","" Operating Temperature"":"" 500"","" Spread Spectrum Bandwidth"":"" 1"",""000"","" Current - Supply (Max)"":"" 2"",""500"","" Ratings"":"" 5"",""000"","" Mounting Type"":"" 10"",""000"","" Package / Case"":"" SSX-750PBB-ND"","" Size / Dimension"":"" "","" Height - Seated (Max)"":"" SSX-750PBB"","" Current - Supply (Disable) (Max)"":"" XTAL OSC PROG XO CMOS 33V 50PPM"","" RoHS Status"":"" "","" Moisture Sensitivity Level (MSL)"":"" "","" California Prop 65"":"" "","" Standard Package"":"" }",Yes,EAR99,85441190,http://cfd.citizen.co.jp/english/prod-tech/product/pdf/datasheet_Oscillator/SSX-750P_E.pdf,,
6,https://www.digikey.com/Photos/Citizen/MFG_LS12-Series.jpg,Passive Components,Switches,Tactile Switches,LS12T2-T,SWITCH TACT SPST-NO 0.02A 12V,"CITIZEN FINE DEVICE CO., LTD.",Tape and Reel,Lead time,12 Weeks,,"3,000","3,000",,"{""Circuit"":"" SPST-NO"","" Switch Function"":"" Off-Mom"","" Contact Rating @ Voltage"":"" 002A @ 12VDC"","" Actuator Type"":"" Rectangular Button"","" Mounting Type"":"" Surface Mount"","" Right Angle"","" Actuator Height off PCB"","" Vertical"":"" -"","" Actuator Length"","" Right Angle"":"" 285mm"","" Actuator Orientation"":"" Side Actuated"","" Termination Style"":"" SMD (SMT) Tab"","" Outline"":"" 390mm x 195mm"","" Illumination"":"" Non-Illuminated"","" Illumination Type"","" Color"":"" -"","" Illumination Voltage (Nominal)"":"" -"","" Operating Force"":"" 160gf"","" Ingress Protection"":"" -"","" Features"":"" -"","" Operating Temperature"":"" -"","" Actuator Material"":"" -"","" Switch Travel"":"" 020mm"","" Mechanical Life"":"" 100"",""000 Cycles"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 3"",""000"","" Other Names"":"" 1642-1312-2}",Yes,EAR99,85365090,,,Tactile Switch
7,,Passive Components,Switches,Tactile Switches,LS75C2D7,SWITCH TACT SPS 0.02A 12V SMD,"CITIZEN FINE DEVICE CO., LTD.",Tape,Lead time,13 Weeks,,1,1,,"{""Circuit"":"" SPST-NO"","" Switch Function"":"" Off-Mom"","" Contact Rating @ Voltage"":"" 002A @ 12VDC"","" Actuator Type"":"" Standard"","" Actuator Height off PCB"","" Vertical"":"" 050mm"","" Actuator Length"","" Right Angle"":"" -"","" Actuator Orientation"":"" Top Actuated"","" Termination Style"":"" SMD (SMT) Tab"","" Outline"":"" 280mm x 190mm"","" Illumination"":"" Non-Illuminated"","" Illumination Type"","" Color"":"" -"","" Illumination Voltage (Nominal)"":"" -"","" Operating Force"":"" 163gf"","" Ingress Protection"":"" IP67 - Dust Tight"","" Waterproof"","" Features"":"" -"","" Operating Temperature"":"" -"","" Actuator Material"":"" -"","" Switch Travel"":"" 015mm"","" Mechanical Life"":"" 300"",""000 Cycles"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1642-LS75C2D7CT}",Yes,EAR99,85365090,,,
8,,Passive Components,Switches,Tactile Switches,LS75C2D7,SWITCH TACT SPS 0.02A 12V SMD,"CITIZEN FINE DEVICE CO., LTD.",Reel,Lead time,13 Weeks,,1,1,,"{""Circuit"":"" SPST-NO"","" Switch Function"":"" Off-Mom"","" Contact Rating @ Voltage"":"" 002A @ 12VDC"","" Actuator Type"":"" Standard"","" Actuator Height off PCB"","" Vertical"":"" 050mm"","" Actuator Length"","" Right Angle"":"" -"","" Actuator Orientation"":"" Top Actuated"","" Termination Style"":"" SMD (SMT) Tab"","" Outline"":"" 280mm x 190mm"","" Illumination"":"" Non-Illuminated"","" Illumination Type"","" Color"":"" -"","" Illumination Voltage (Nominal)"":"" -"","" Operating Force"":"" 163gf"","" Ingress Protection"":"" IP67 - Dust Tight"","" Waterproof"","" Features"":"" -"","" Operating Temperature"":"" -"","" Actuator Material"":"" -"","" Switch Travel"":"" 015mm"","" Mechanical Life"":"" 300"",""000 Cycles"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1642-LS75C2D7DKR}",Yes,EAR99,85365090,,,
9,https://www.digikey.com/Photos/Citizen/MFG_LS12-Series.jpg,Passive Components,Switches,Tactile Switches,LS12T2-T,SWITCH TACT SPST-NO 0.02A 12V,"CITIZEN FINE DEVICE CO., LTD.",Tape,Lead time,12 Weeks,,1,1,,"{""Circuit"":"" SPST-NO"","" Switch Function"":"" Off-Mom"","" Contact Rating @ Voltage"":"" 002A @ 12VDC"","" Actuator Type"":"" Rectangular Button"","" Mounting Type"":"" Surface Mount"","" Right Angle"","" Actuator Height off PCB"","" Vertical"":"" -"","" Actuator Length"","" Right Angle"":"" 285mm"","" Actuator Orientation"":"" Side Actuated"","" Termination Style"":"" SMD (SMT) Tab"","" Outline"":"" 390mm x 195mm"","" Illumination"":"" Non-Illuminated"","" Illumination Type"","" Color"":"" -"","" Illumination Voltage (Nominal)"":"" -"","" Operating Force"":"" 160gf"","" Ingress Protection"":"" -"","" Features"":"" -"","" Operating Temperature"":"" -"","" Actuator Material"":"" -"","" Switch Travel"":"" 020mm"","" Mechanical Life"":"" 100"",""000 Cycles"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1642-1312-1}",Yes,EAR99,85365090,,,Tactile Switch
10,https://www.digikey.com/Photos/Citizen/MFG_LS12-Series.jpg,Passive Components,Switches,Tactile Switches,LS12T2-T,SWITCH TACT SPST-NO 0.02A 12V,"CITIZEN FINE DEVICE CO., LTD.",Reel,Lead time,12 Weeks,,1,1,,"{""Circuit"":"" SPST-NO"","" Switch Function"":"" Off-Mom"","" Contact Rating @ Voltage"":"" 002A @ 12VDC"","" Actuator Type"":"" Rectangular Button"","" Mounting Type"":"" Surface Mount"","" Right Angle"","" Actuator Height off PCB"","" Vertical"":"" -"","" Actuator Length"","" Right Angle"":"" 285mm"","" Actuator Orientation"":"" Side Actuated"","" Termination Style"":"" SMD (SMT) Tab"","" Outline"":"" 390mm x 195mm"","" Illumination"":"" Non-Illuminated"","" Illumination Type"","" Color"":"" -"","" Illumination Voltage (Nominal)"":"" -"","" Operating Force"":"" 160gf"","" Ingress Protection"":"" -"","" Features"":"" -"","" Operating Temperature"":"" -"","" Actuator Material"":"" -"","" Switch Travel"":"" 020mm"","" Mechanical Life"":"" 100"",""000 Cycles"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1642-1312-6}",Yes,EAR99,85365090,,,Tactile Switch
