Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1,,Interconnect,Cable Assemblies,Between Series Adapter Cables,43-01678,CONN FEMALE M12,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""Connector Type"":"" Circular 04 pos Female to RJ45"","" 8p4c"","" Length"":"" ""164 (5000mm)"""","" Cable Type"":"" Round"","" Color"":"" Green"","" Shielding"":"" Unshielded"","" Usage"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-01678,,
2,http://www.digikey.com/photos/Conec%20Photos/17-10006.JPG,Interconnect,Cable Assemblies,Other Cable Assemblies,17-10006,CABLE MOD 8P8C PLUG-PLUG 6.56,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Cable Type"":"" Round Cable"","" Connector Type"":"" Plug to Plug"","" Mounting Type"":"" Free Hanging (In-Line)"","" Number of Positions/Contacts"":"" 8p8c (RJ45"","" Ethernet)"","" Length"":"" ""656 (200m)"""","" Shielding"":"" Unshielded"","" Color"":"" Black"","" Features"":"" Circular Bayonet Coupling"","" Molded Plugs"","" Style"":"" Cat5e"","" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1710006""}",Yes,EAR99,85444220,https://www.conec.com/en/wp-content/uploads/sites/2/2013/08/IO_Katalog_Gesamt_GB_Web.pdf#page=601,,
3,http://www.digikey.com/Photos/Conec%20Photos/43-01003.jpg,Interconnect,Cable Assemblies,Circular Cable Assemblies,43-01003,CBL FMALE TO WIRE LEAD 4P 1.64,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""1st Connector Type"":"" Plug"","" 1st Connector Gender"":"" Female Sockets"","" 1st Connector Number of Positions"":"" 4"","" 1st Connector Number of Positions Loaded"":"" All"","" 1st Connector Shell Size - Insert"":"" M12"","" 1st Connector Orientation"":"" A"","" 1st Connector Mounting Type"":"" Panel Mount"","" 2nd Connector Type"":"" Wire Leads"","" 2nd Connector Gender"":"" -"","" 2nd Connector Number of Positions"":"" -"","" 2nd Connector Number of Positions Loaded"":"" -"","" 2nd Connector Shell Size - Insert"":"" -"","" 2nd Connector Orientation"":"" -"","" 2nd Connector Mounting Type"":"" -"","" Length"":"" ""164 (50000mm)"""","" Assembly Configuration"":"" Standard"","" Cable Type"":"" Individual"","" Cable Material"":"" Polyvinyl Chloride (PVC)"","" Color"":"" Multiple"","" Shielding"":"" Unshielded"","" Ingress Protection"":"" IP67 - Dust Tight"","" Waterproof"","" Usage"":"" Industrial Environments"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 4301003""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-01003,,
4,http://www.digikey.com/photos/Conec%20Photos/17-300.jpg,Interconnect,Cable Assemblies,Other Cable Assemblies,17-300860-01,FIBER OPTIC CBL LC-LC DUPLEX 1M,CONEC,Bag,Lead time,,,1,1,,"{""1st Connector"":"" LC Duplex"","" 2nd Connector"":"" LC Duplex"","" Cable Diameter"":"" -"","" Cable Type"":"" Buffered Fiber"","" Features"":"" IP67"","" Fiber Type"":"" 625/125"","" Length - Overall"":"" ""33 (10m)"""","" Type"":"" Multimode"","" Duplex"","" Ratings"":"" OFNR"","" Bend Radius"":"" -"","" Color - Cable"":"" Black"","" Color - Connectors"":"" Black"","" Insertion Loss"":"" 050dB"","" Jacket (Insulation) Material"":"" -"","" Return Loss"":"" -"","" Operating Temperature"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1730086001""}",Yes,EAR99,85444220,,,Fiber-Optic LC Connectors
5,http://www.digikey.com/photos/Conec%20Photos/17-2010x1.jpg,Interconnect,Cable Assemblies,USB Cables,17-201041,CONN USB PATCH CORD 3M IP67,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Configuration"":"" A Male to A Male"","" Length"":"" ""984 (300m)"""","" Specifications"":"" USB 20"","" Wire Gauge"":"" 24 AWG"","" 28 AWG"","" Shielding"":"" Shielded"","" Color"":"" Black"","" Style"":"" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 17-201041-ND""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=17-201041,,
6,,Interconnect,Cable Assemblies,Between Series Adapter Cables,43-01679,CONN FEMALE M12,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""Connector Type"":"" Circular 04 pos Female to RJ45"","" 8p4c"","" Length"":"" ""328 (100m)"""","" Cable Type"":"" Round"","" Color"":"" Green"","" Shielding"":"" Unshielded"","" Usage"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-01679,,
7,,Interconnect,Cable Assemblies,Between Series Adapter Cables,43-10997,CONN MALE M12 AXIAL,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""Connector Type"":"" Circular 04 pos Male to RJ45"","" 8p4c"","" Length"":"" ""984 (300m)"""","" Cable Type"":"" Round"","" Color"":"" Green"","" Shielding"":"" Shielded"","" Usage"":"" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-10997,,
8,,Interconnect,Cable Assemblies,Between Series Adapter Cables,43-01680,CONN FEMALE M12,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""Connector Type"":"" Circular 04 pos Female to RJ45"","" 8p4c"","" Length"":"" ""656 (200m)"""","" Cable Type"":"" Round"","" Color"":"" Green"","" Shielding"":"" Unshielded"","" Usage"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-01680,,
9,,Interconnect,Cable Assemblies,Between Series Adapter Cables,43-10996,CONN MALE M12 AXIAL,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""Connector Type"":"" Circular 04 pos Male to RJ45"","" 8p4c"","" Length"":"" ""492 (150m)"""","" Cable Type"":"" Round"","" Color"":"" Green"","" Shielding"":"" Shielded"","" Usage"":"" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-10996,,
10,,Interconnect,Cable Assemblies,Between Series Adapter Cables,43-11738,CONN MALE M12,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""Connector Type"":"" D-Sub 09 pos Male"","" Right Angle to Circular 04 pos Male"","" Length"":"" ""656 (200m)"""","" Cable Type"":"" Round"","" Twin Axial"","" Color"":"" Violet"","" Shielding"":"" Shielded"","" Usage"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-11738,,
11,,Interconnect,Cable Assemblies,Between Series Adapter Cables,43-11744,CONN MALE M12,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""Connector Type"":"" D-Sub 09 pos Male"","" Right Angle to Circular 04 pos Male"","" Length"":"" ""656 (200m)"""","" Cable Type"":"" Round"","" Twin Axial"","" Color"":"" Violet"","" Shielding"":"" Shielded"","" Usage"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-11744,,
12,,Interconnect,Cable Assemblies,Between Series Adapter Cables,43-11747,CONN MALE M12,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""Connector Type"":"" D-Sub 09 pos Male"","" Right Angle to Circular 04 pos Male"","" Length"":"" ""656 (200m)"""","" Cable Type"":"" Round"","" Color"":"" Violet"","" Shielding"":"" Shielded"","" Usage"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-11747,,
13,,Interconnect,Cable Assemblies,Between Series Adapter Cables,43-11748,CONN MALE M12,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""Connector Type"":"" D-Sub 09 pos Male"","" Right Angle to Circular 04 pos Male"","" Length"":"" ""984 (300m)"""","" Cable Type"":"" Round"","" Color"":"" Violet"","" Shielding"":"" Shielded"","" Usage"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-11748,,
14,http://www.digikey.com/Photos/Conec%20Photos/17-101324.jpg,Interconnect,Cable Assemblies,Other Cable Assemblies,17-101324,CABLE MOD 8P8C PLUG-PLUG 6.56,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Cable Type"":"" Round Cable"","" Connector Type"":"" Plug to Plug"","" Mounting Type"":"" Free Hanging (In-Line)"","" Number of Positions/Contacts"":"" 8p8c (RJ45"","" Ethernet)"","" Length"":"" ""656 (200m)"""","" Shielding"":"" Shielded"","" Color"":"" Black"","" Features"":"" Molded Plugs"","" Style"":"" Cat5e"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" Not Applicable"","" Standard Package"":"" 1"","" Other Names"":"" 17-101324-ND""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=17-101324,,"CAT5e, CAT6, and CAT6a Patch Cables"
