Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1,https://www.digikey.com/Photos/Coto%20Tech%20Photos/COTOMOS%20C2.JPG,Electromechanical Components,Relays,Solid State Relays,C226STR,SSR RELAY SPST-NO 2A 0-40V,"COTO TECHNOLOGY, INC.",Tape and Reel,Lead time,14 Weeks,,"2,000","2,000",,"{""Mounting Type"":"" Surface Mount"","" Circuit"":"" SPST-NO (1 Form A)"","" Output Type"":"" AC"","" DC"","" Voltage - Input"":"" 137VDC"","" Voltage - Load"":"" 0V ~ 40V"","" Load Current"":"" 2A"","" On-State Resistance (Max)"":"" 85 mOhms"","" Termination Style"":"" Gull Wing"","" Package / Case"":"" 4-SOP (0173"""","" 440mm)"","" Supplier Device Package"":"" 4-SOP"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 2  (1 Year)"","" Standard Package"":"" 2"",""000"","" Other Names"":"" 306-1417-2}",Yes,EAR99,85364100,https://www.cotorelay.com/wp-content/uploads/2014/10/c226s_c326s_mosfet_relay_datasheet.pdf,,"CotoMOS High-Voltage, High-Current Relays"
2,https://www.digikey.com/Photos/Coto%20Tech%20Photos/COTOMOS%20C2.JPG,Electromechanical Components,Relays,Solid State Relays,C226S,SSR RELAY SPST-NO 2A 0-40V,"COTO TECHNOLOGY, INC.",Tube,Lead time,14 Weeks,,100,100,,"{""Mounting Type"":"" Surface Mount"","" Circuit"":"" SPST-NO (1 Form A)"","" Output Type"":"" AC"","" DC"","" Voltage - Input"":"" 137VDC"","" Voltage - Load"":"" 0V ~ 40V"","" Load Current"":"" 2A"","" On-State Resistance (Max)"":"" 85 mOhms"","" Termination Style"":"" Gull Wing"","" Package / Case"":"" 4-SOP (0173"""","" 440mm)"","" Supplier Device Package"":"" 4-SOP"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 2  (1 Year)"","" Standard Package"":"" 100"","" Other Names"":"" 306-1358}",Yes,EAR99,85364100,https://www.cotorelay.com/wp-content/uploads/2014/10/c226s_c326s_mosfet_relay_datasheet.pdf,,"CotoMOS High-Voltage, High-Current Relays"
3,https://www.digikey.com/Photos/Coto%20Tech%20Photos/COTOMOS%20CS13.JPG,Electromechanical Components,Relays,Solid State Relays,CS128TR,SSR RELAY SPST-NO 4.5A 0-40V,"COTO TECHNOLOGY, INC.",Reel,Lead time,14 Weeks,,1,1,,"{""Mounting Type"":"" Surface Mount"","" Circuit"":"" SPST-NO (1 Form A)"","" Output Type"":"" AC"","" DC"","" Voltage - Input"":"" 137VDC"","" Voltage - Load"":"" 0V ~ 40V"","" Load Current"":"" 45A"","" On-State Resistance (Max)"":"" 50 mOhms"","" Termination Style"":"" Gull Wing"","" Package / Case"":"" 6-SMD (0300"""","" 762mm)"","" Supplier Device Package"":"" 6-SMD"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 2  (1 Year)"","" Standard Package"":"" 1"","" Other Names"":"" 306-1416-6}",Yes,EAR99,85364100,https://www.cotorelay.com/wp-content/uploads/2014/10/CotoMOS-CT128-CS128.pdf,,"CotoMOS High-Voltage, High-Current Relays"
4,https://www.digikey.com/Photos/Coto%20Tech%20Photos/COTOMOS%20C2.JPG,Electromechanical Components,Relays,Solid State Relays,C226STR,SSR RELAY SPST-NO 2A 0-40V,"COTO TECHNOLOGY, INC.",Tape,Lead time,14 Weeks,,1,1,,"{""Mounting Type"":"" Surface Mount"","" Circuit"":"" SPST-NO (1 Form A)"","" Output Type"":"" AC"","" DC"","" Voltage - Input"":"" 137VDC"","" Voltage - Load"":"" 0V ~ 40V"","" Load Current"":"" 2A"","" On-State Resistance (Max)"":"" 85 mOhms"","" Termination Style"":"" Gull Wing"","" Package / Case"":"" 4-SOP (0173"""","" 440mm)"","" Supplier Device Package"":"" 4-SOP"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 2  (1 Year)"","" Standard Package"":"" 1"","" Other Names"":"" 306-1417-1}",Yes,EAR99,85364100,https://www.cotorelay.com/wp-content/uploads/2014/10/c226s_c326s_mosfet_relay_datasheet.pdf,,"CotoMOS High-Voltage, High-Current Relays"
5,https://www.digikey.com/Photos/Coto%20Tech%20Photos/COTOMOS%20C2.JPG,Electromechanical Components,Relays,Solid State Relays,C226STR,SSR RELAY SPST-NO 2A 0-40V,"COTO TECHNOLOGY, INC.",Reel,Lead time,14 Weeks,,1,1,,"{""Mounting Type"":"" Surface Mount"","" Circuit"":"" SPST-NO (1 Form A)"","" Output Type"":"" AC"","" DC"","" Voltage - Input"":"" 137VDC"","" Voltage - Load"":"" 0V ~ 40V"","" Load Current"":"" 2A"","" On-State Resistance (Max)"":"" 85 mOhms"","" Termination Style"":"" Gull Wing"","" Package / Case"":"" 4-SOP (0173"""","" 440mm)"","" Supplier Device Package"":"" 4-SOP"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 2  (1 Year)"","" Standard Package"":"" 1"","" Other Names"":"" 306-1417-6}",Yes,EAR99,85364100,https://www.cotorelay.com/wp-content/uploads/2014/10/c226s_c326s_mosfet_relay_datasheet.pdf,,"CotoMOS High-Voltage, High-Current Relays"
6,https://www.digikey.com/Photos/Coto%20Tech%20Photos/COTOMOS%20CS13.JPG,Electromechanical Components,Relays,Solid State Relays,CS128TR,SSR RELAY SPST-NO 4.5A 0-40V,"COTO TECHNOLOGY, INC.",Tape,Lead time,14 Weeks,,1,1,,"{""Mounting Type"":"" Surface Mount"","" Circuit"":"" SPST-NO (1 Form A)"","" Output Type"":"" AC"","" DC"","" Voltage - Input"":"" 137VDC"","" Voltage - Load"":"" 0V ~ 40V"","" Load Current"":"" 45A"","" On-State Resistance (Max)"":"" 50 mOhms"","" Termination Style"":"" Gull Wing"","" Package / Case"":"" 6-SMD (0300"""","" 762mm)"","" Supplier Device Package"":"" 6-SMD"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 2  (1 Year)"","" Standard Package"":"" 1"","" Other Names"":"" 306-1416-1}",Yes,EAR99,85364100,https://www.cotorelay.com/wp-content/uploads/2014/10/CotoMOS-CT128-CS128.pdf,,"CotoMOS High-Voltage, High-Current Relays"
7,https://www.digikey.com/Photos/Coto%20Tech%20Photos/COTOMOS.JPG,Electromechanical Components,Relays,Solid State Relays,C326S,SSR RELAY SPST-NO 1.6A 0-40V,"COTO TECHNOLOGY, INC.",Tube,Lead time,14 Weeks,,50,50,,"{""Mounting Type"":"" Surface Mount"","" Circuit"":"" SPST-NO (1 Form A) x 2"","" Output Type"":"" AC"","" DC"","" Voltage - Input"":"" 137VDC"","" Voltage - Load"":"" 0V ~ 40V"","" Load Current"":"" 16A"","" On-State Resistance (Max)"":"" 85 mOhms"","" Termination Style"":"" Gull Wing"","" Package / Case"":"" 8-SOP (0173"""","" 440mm Width)"","" Supplier Device Package"":"" 8-SOP"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 2  (1 Year)"","" Standard Package"":"" 50"","" Other Names"":"" 306-1357}",Yes,EAR99,85364100,https://www.cotorelay.com/wp-content/uploads/2014/10/c226s_c326s_mosfet_relay_datasheet.pdf,,"CotoMOS High-Voltage, High-Current Relays"
8,https://www.digikey.com/Photos/Coto%20Tech%20Photos/COTOMOS.JPG,Electromechanical Components,Relays,Solid State Relays,C326STR,SSR RELAY SPST-NO 1.6A 0-40V,"COTO TECHNOLOGY, INC.",Tape and Reel,Lead time,14 Weeks,,"1,000","1,000",,"{""Mounting Type"":"" Surface Mount"","" Circuit"":"" SPST-NO (1 Form A) x 2"","" Output Type"":"" AC"","" DC"","" Voltage - Input"":"" 137VDC"","" Voltage - Load"":"" 0V ~ 40V"","" Load Current"":"" 16A"","" On-State Resistance (Max)"":"" 85 mOhms"","" Termination Style"":"" Gull Wing"","" Package / Case"":"" 8-SOP (0173"""","" 440mm Width)"","" Supplier Device Package"":"" 8-SOP"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 2  (1 Year)"","" Standard Package"":"" 1"",""000"","" Other Names"":"" 306-1450-2}",Yes,EAR99,85364100,https://www.cotorelay.com/wp-content/uploads/2014/10/c226s_c326s_mosfet_relay_datasheet.pdf,,"CotoMOS High-Voltage, High-Current Relays"
9,https://www.digikey.com/Photos/Coto%20Tech%20Photos/COTOMOS.JPG,Electromechanical Components,Relays,Solid State Relays,C347S,SSR RELAY SPST-NO 1A 0-80V,"COTO TECHNOLOGY, INC.",Tube,Lead time,14 Weeks,,50,50,,"{""Mounting Type"":"" Surface Mount"","" Circuit"":"" SPST-NO (1 Form A) x 2"","" Output Type"":"" AC"","" DC"","" Voltage - Input"":"" 137VDC"","" Voltage - Load"":"" 0V ~ 80V"","" Load Current"":"" 1A"","" On-State Resistance (Max)"":"" 150 mOhms"","" Termination Style"":"" Gull Wing"","" Package / Case"":"" 8-SOP (0173"""","" 440mm Width)"","" Supplier Device Package"":"" 8-SOP"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 2  (1 Year)"","" Standard Package"":"" 50"","" Other Names"":"" 306-1308}",Yes,EAR99,85364100,https://www.cotorelay.com/wp-content/uploads/2014/10/c247s_c347s_mosfet_relay_datasheet.pdf,,"CotoMOS High-Voltage, High-Current Relays"
10,https://www.digikey.com/Photos/Coto%20Tech%20Photos/COTOMOS.JPG,Electromechanical Components,Relays,Solid State Relays,C326STR,SSR RELAY SPST-NO 1.6A 0-40V,"COTO TECHNOLOGY, INC.",Tape,Lead time,14 Weeks,,1,1,,"{""Mounting Type"":"" Surface Mount"","" Circuit"":"" SPST-NO (1 Form A) x 2"","" Output Type"":"" AC"","" DC"","" Voltage - Input"":"" 137VDC"","" Voltage - Load"":"" 0V ~ 40V"","" Load Current"":"" 16A"","" On-State Resistance (Max)"":"" 85 mOhms"","" Termination Style"":"" Gull Wing"","" Package / Case"":"" 8-SOP (0173"""","" 440mm Width)"","" Supplier Device Package"":"" 8-SOP"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 2  (1 Year)"","" Standard Package"":"" 1"","" Other Names"":"" 306-1450-1}",Yes,EAR99,85364100,https://www.cotorelay.com/wp-content/uploads/2014/10/c226s_c326s_mosfet_relay_datasheet.pdf,,"CotoMOS High-Voltage, High-Current Relays"
