Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Name,Available packaging,Stock Status,ROHS,ECCM,Lead Time,HSCode,Short Description ,Price,Technical Specification,Datasheet Link,Manufacturer Part No,Quantity Available,Qty Multiple,Qty Min
https://static.wixstatic.com/media/7db2d6_05a1a20ce16d48c09b53af8dfbb2ba68~mv2.jpg,Electromechanical Components,Switches,Pushbutton Switches,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,"PUSHBTN SWITCH,RED",17.89,0,https://www.grayhill.com/documents/7-2000-Datasheet,2201,0,25,1
https://static.wixstatic.com/media/7db2d6_af10e9338ac6479a93e18ab2b7bb1d08~mv2.jpg,Electromechanical Components,Switches,Pushbutton Switches,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,"PUSHBTN SWITCH,BLK",19.08,0,https://www.grayhill.com/documents/7-2000-Datasheet,2202,0,25,1
https://static.wixstatic.com/media/7db2d6_af10e9338ac6479a93e18ab2b7bb1d08~mv2.jpg,Electromechanical Components,Switches,Pushbutton Switches,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,PUSHBTN SWITCH,5.75,0,https://www.grayhill.com/documents/10-4000-Datasheet,4001,0,25,1
https://static.wixstatic.com/media/7db2d6_6d74b3dab99546049dc3ca672bb146c1~mv2.jpg,Electromechanical Components,Switches,Pushbutton Switches,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,PUSHBTN SWITCH,5.75,0,https://www.grayhill.com/documents/10-4000-Datasheet,4002,0,25,1
https://static.wixstatic.com/media/7db2d6_6d74b3dab99546049dc3ca672bb146c1~mv2.jpg,Electromechanical Components,Switches,Rotary Switches,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,"51P30-01-1-ADJ,BCD COMP",21.25,0,https://www.grayhill.com/documents/51BCD-Datasheet,513384,0,25,1
https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,Switches,Rotary Switches,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,"51P30-01-1-ADJ,BCD",21.25,0,https://www.grayhill.com/documents/51BCD-Datasheet,513385,0,25,1
https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,Knobs Clips Posts,Knobs Clips Posts,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,TEST CLIP,2.2,0,https://www.grayhill.com/documents/Test-Clips-Datasheet,02-0,0,1,1
https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,Knobs Clips Posts,Knobs Clips Posts,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,TEST CLIP,3.56,0,https://www.grayhill.com/documents/Test-Clips-Datasheet,44198,0,1,1
https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,Knobs Clips Posts,Knobs Clips Posts,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,TEST CLIP,2.49,0,https://www.grayhill.com/documents/Test-Clips-Datasheet,43862,0,1,1
https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,Knobs Clips Posts,Knobs Clips Posts,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,"TEST CLIP,W/BP",3.64,0,https://www.grayhill.com/documents/Test-Clips-Datasheet,44228,0,1,1
https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,Knobs Clips Posts,Knobs Clips Posts,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,"ASM,TEST CLIP",3.29,0,https://www.grayhill.com/documents/Test-Clips-Datasheet,45323,0,1,1
https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,Knobs Clips Posts,Knobs Clips Posts,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,"TEST CLIP,W/PNL INSUL",3.29,0,https://www.grayhill.com/documents/Test-Clips-Datasheet,44288,0,1,1
https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,Knobs Clips Posts,Knobs Clips Posts,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,TEST CLIP,2.49,0,https://www.grayhill.com/documents/Test-Clips-Datasheet,15008,0,1,1
https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,Knobs Clips Posts,Knobs Clips Posts,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,TEST CLIP,2.66,0,https://www.grayhill.com/documents/Test-Clips-Datasheet,15373,0,1,1
https://static.wixstatic.com/media/7db2d6_9682e266e13544f89f6bfc8ce56b3f1e~mv2.jpg,Electromechanical Components,Knobs Clips Posts,Knobs Clips Posts,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,TEST CLIP 13670,2.24,0,https://www.grayhill.com/documents/Test-Clips-Datasheet,21947,0,1,1
https://static.wixstatic.com/media/7db2d6_9682e266e13544f89f6bfc8ce56b3f1e~mv2.jpg,Electromechanical Components,Switches,Pushbutton Switches,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,"ASM,4WAY SWITCH,ROHS",11.37,0,https://www.grayhill.com/documents/04A-Datasheet,04A,0,25,1
https://static.wixstatic.com/media/7db2d6_9682e266e13544f89f6bfc8ce56b3f1e~mv2.jpg,Electromechanical Components,Switches,Pushbutton Switches,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,"ASM,4WAY,BAT HANDLE,ROHS",13.94,0,https://www.grayhill.com/documents/04A-Datasheet,04A-B01,0,25,1
https://static.wixstatic.com/media/7db2d6_9682e266e13544f89f6bfc8ce56b3f1e~mv2.jpg,Electromechanical Components,Switches,Pushbutton Switches,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,"ASM,4WAY,KEYCAP,W/ARROWS,ROHS",13.94,0,https://www.grayhill.com/documents/04A-Datasheet,04A-K01,0,25,1
https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Switches,Pushbutton Switches,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,"ASM,4WAY,KEYCAP,-ARROWS,ROHS",13.94,0,https://www.grayhill.com/documents/04A-Datasheet,04A-K02,0,25,1
https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Switches,Pushbutton Switches,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,"ASM,JOYSTICK,4WAY,PCB",100.75,0,https://www.grayhill.com/documents/04J-Datasheet,04J-AP-C01,0,1,1
https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Switches,Pushbutton Switches,Grayhill,Bulk,Lead Time,Yes,EAR 99,18 weeks,,"ASM,JOYSTICK,4WAY",107.99,0,https://www.grayhill.com/documents/04J-Datasheet,04J-AP-C02,0,1,1
