Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
2,http://www.digikey.com/Photos/Hirose%20Elect%20Photos/PS3-2U-DC.JPG,Interconnect,Connectors,Backplane Connectors,PS3-2U-DC,CONN DUST CAP,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time,16 Weeks,,40,40,,"{""Accessory Type"":"" Dust Cap"","" For Use With/Related Products"":"" PS3 Series Plug or Receptacle"","" Specifications"":"" -"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 40"","" Other Names"":"" 236-1054-1-00""}",Yes,EAR99,85367000,https://www.hirose.com/product/document?clcode=CL0236-1042-2-00&productname=PS3-2UP&series=PS3&documenttype=Catalog&lang=en&documentid=D49434_en,,PS3 Series Connectors
3,,Interconnect,Connectors,Backplane Connectors,QR/P4-SCREW(01),CONN CRIMP TERM FEMALE,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time,16 Weeks,,100,100,,"{""Accessory Type"":"" Screw"","" For Use With/Related Products"":"" -"","" Specifications"":"" M3 Thread"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 100"","" Other Names"":"" 221-0181-4-01""}",Yes,EAR99,85367000,,,
4,http://www.digikey.com/Photos/Hirose%20Elect%20Photos/PS3C-1UP-TS.JPG,Interconnect,Connectors,Backplane Connectors,PS3C-1UP-TS,SCREW 3X8 TYPE 2 FOR PS3C,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time,16 Weeks,,60,60,,"{""Accessory Type"":"" Screw"","" For Use With/Related Products"":"" PS3 Series"","" Specifications"":"" 3 Thread"","" 315"" Length"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 60"","" Other Names"":"" 236-1068-6-00""}",Yes,EAR99,85367000,https://www.hirose.com/product/document?clcode=CL0236-1042-2-00&productname=PS3-2UP&series=PS3&documenttype=Catalog&lang=en&documentid=D49434_en,,PS3 Series Connectors
5,http://www.digikey.com/Photos/Hirose%20Elect%20Photos/DF59M-2224PCF.jpg,Interconnect,Connectors,Others and Acessories,DF59M-2224PCF,CONN SSL PLG CONT 22-24AWG CRIMP,"HIROSE ELECTRIC CO., LTD.",Tape and Reel,Lead time,16 Weeks,,"15,000","15,000",,"{""Style"":"" Board to Cable/Wire"","" Connector Type"":"" Contact"","" Plug"","" Number of Positions"":"" 1"","" Mounting Type"":"" Free Hanging (In-Line)"","" Termination"":"" Crimp"","" Pitch"":"" -"","" Wire Gauge"":"" 22-24 AWG"","" Features"":"" -"","" Contact Finish"":"" Tin"","" Contact Material"":"" Copper Alloy"","" Fastening Type"":"" -"","" Housing Color"":"" -"","" Housing Material"":"" -"","" Operating Temperature"":"" -40C ~ 105C"","" Voltage Rating"":"" 300V"","" Current Rating (Amps)"":"" 6A"","" Mating Cycles"":"" 20"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 15"",""000"","" Other Names"":"" 667-0042-8-00""}",Yes,EAR99,85367000,,,
6,http://www.digikey.com/Photos/Hirose%20Elect%20Photos/PCN21-P-CK%28x%29.jpg,Interconnect,Connectors,Backplane Connectors,PCN21-P-CK(D),CONN CODING KEY MALE YELLOW 3.3V,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time,,,1,1,,"{""Accessory Type"":"" Quantity"","" For Use With/Related Products"":"" "","" Specifications"":"" "","" RoHS Status"":"" "","" Moisture Sensitivity Level (MSL)"":"" "","" Standard Package"":"" 1"","" Other Names"":"" PCN21-P-CK(D)-ND""}",Yes,EAR99,85367000,,,
7,http://www.digikey.com/Photos/Hirose%20Elect%20Photos/PS4A-6.35T.jpg,Interconnect,Connectors,Others and Acessories,PS4A-6.35T,CONN HORIZ TYPE FOR 6MM BUSBAR,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time,16 Weeks,,16,16,,"{""Terminal Type"":"" Busbar Clip"","" Termination"":"" Solder"","" Wire Gauge"":"" -"","" Color"":"" Black"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 16"","" Other Names"":"" 236-1018-0-00""}",Yes,EAR99,85367000,,,PS4 Busbar Plug-In Connector
8,,Interconnect,Connectors,Others and Acessories,MDF12-1822PCF,CRIMP CONTACT,"HIROSE ELECTRIC CO., LTD.",Tape and Reel,Lead time,,,"5,000","5,000",,"{""Terminal Type"":"" Through Board"","" Locking"","" Hole Diameter"":"" -"","" Insulation Diameter"":"" 0059"" ~ 0087"" (150mm ~ 221mm)"","" Length - Overall"":"" 0370"" (940mm)"","" Wire Gauge"":"" 18-22 AWG"","" Contact Material"":"" Brass"","" Contact Finish"":"" Tin"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 5"",""000"","" Other Names"":"" 547-0196-9-00""}",Yes,EAR99,85367000,,,
9,http://www.digikey.com/Photos/Hirose Elect Photos/MFG_EF2-D60-1.jpg,Interconnect,Connectors,Others and Acessories,EF2-D60-1,TERMINAL BLOCK DIN RAIL,"HIROSE ELECTRIC CO., LTD.",Bag,Lead time,16 Weeks,,20,20,,"{""Type"":"" Busbar"","" Mounting Type"":"" DIN Rail"","" Number of Positions"":"" 1"","" Number of Levels"":"" 1"","" Terminal - Width"":"" 210mm"","" Termination Style"":"" Push In"","" Spring"","" Voltage - UL"":"" 600V"","" Wire Gauge or Range - AWG"":"" -"","" Wire Gauge or Range - mm"":"" 55-14mm"","" Features"":"" -"","" Housing Color"":"" Black"","" Length"":"" 2504"" (6360mm)"","" Height (Max)"":"" 2041"" (5185mm)"","" Material - Insulation"":"" Modified Polyphenylene Ether (M-PPE)"","" Material Flammability Rating"":"" UL94 V-0"","" Stripping Length"":"" -"","" Operating Temperature"":"" -25C ~ 105C"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 20"","" Other Names"":"" 142-0104-0-00""}",Yes,EAR99,85367000,https://www.hirose.com/product/document?clcode=CL0142-0100-0-00&productname=EF2-D150-1&series=EF2&documenttype=Catalog&lang=en&documentid=D161416_en,,EF2 Series Zero Screw Connector
10,http://www.digikey.com/Photos/Hirose%20Elect%20Photos/PCN10-GK(A).jpg,Interconnect,Connectors,Backplane Connectors,PCN10-GK(A),POLARIZING KEY 1=1 KEY,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time,16 Weeks,,100,100,,"{""Accessory Type"":"" Polarizing Key"","" For Use With/Related Products"":"" -"","" Specifications"":"" Black"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 100"","" Other Names"":"" 583-0269-4-00""}",Yes,EAR99,85367000,https://www.hirose.com/product/document?clcode=CL0583-0079-9-72&productname=PCN10C-20S-2.54DSA(72)&series=PCN10&documenttype=Catalog&lang=en&documentid=D49718_en,,
12,http://www.digikey.com/Photos/Hirose%20Elect%20Photos/ZX40-B-5S-500-STDA%2830%29.jpg,Interconnect,Cable Assemblies,USB Cables,ZX40-B-5S-500-STDA(30),CABLE MICRO USB B TO STD A 0.5M,"HIROSE ELECTRIC CO., LTD.",Bag,Lead time,,,10,10,,"{""Configuration"":"" Quantity"","" Length"":"" "","" Specifications"":"" "","" Wire Gauge"":"" "","" Shielding"":"" "","" Color"":"" 1"","" Style"":"" 10"","" RoHS Status"":"" H125242-ND"","" Moisture Sensitivity Level (MSL)"":"" "","" Standard Package"":"" ZX40-B-5S-500-STDA(30)"","" Other Names"":"" CABLE MICRO USB B TO STD A 05M""}",Yes,EAR99,85444220,https://www.hirose.com/product/document?clcode=CL0242-0056-3-30&productname=ZX62D-B-5PA8(30)&series=ZX&documenttype=Catalog&lang=en&documentid=D31704_en,,
