Product Photo,Group Category ,Product Category ,Product Sub-Category,Manufacturer Name,Available packaging,Stock Status,ROHS,ECCN,Lead Time,HSCode,Short Description,Price,Technical Specification,Datasheet Link,Manufacturer Part No,Quantity Available,Qty Multiple,Qty Min,COO,Series
,Interconnect,Tools,Accessories,"HIROSE ELECTRIC CO., LTD.",Box,Lead time ,No,EAR99,,84798999,,,"{’Accessory Type’: ’Termination Fixture’, ’For Use With/Related Products’: ’Termination Fixture’, ’RoHS Status’: ’Termination Fixture’, ’Moisture Sensitivity Level (MSL)’: ’Termination Fixture’, ’Standard Package’: ’Termination Fixture’}",,MS-151/SO-MD,,1,1,,
,Interconnect,Tools,Specialized Tools,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,,FH58 MATING TOOL M(11),,"{’RoHS Status’: ’RoHS Compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS Compliant’, ’Standard Package’: ’RoHS Compliant’, ’Other Names’: ’RoHS Compliant’}",,FH58 MATING TOOL M(11),,1,1,,
,Interconnect,Tools,Accessories,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,No,EAR99,,84798999,TOOL SLDR FIX,,"{’RoHS Status’: ’Not applicable’, ’Moisture Sensitivity Level (MSL)’: ’Not applicable’, ’Standard Package’: ’Not applicable’, ’Other Names’: ’Not applicable’}",,MS-151/CV-MD,,1,1,,
,Interconnect,Tools,Accessories,"HIROSE ELECTRIC CO., LTD.",Box,Lead time ,No,EAR99,,84798999,TOOL SLDR FIX FOR MS-151-C(LP),,"{’Accessory Type’: ’Termination Fixture’, ’For Use With/Related Products’: ’Termination Fixture’, ’RoHS Status’: ’Termination Fixture’, ’Moisture Sensitivity Level (MSL)’: ’Termination Fixture’, ’Standard Package’: ’Termination Fixture’}",,MS-151/CK-MP,,1,1,,
,Interconnect,Tools,Specialized Tools,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,,FH58 MATING TOOL (13),,"{’RoHS Status’: ’RoHS Compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS Compliant’, ’Standard Package’: ’RoHS Compliant’, ’Other Names’: ’RoHS Compliant’}",,FH58 MATING TOOL (13),,1,1,,
,Interconnect,Tools,Accessories,"HIROSE ELECTRIC CO., LTD.",Box,Lead time ,No,EAR99,,84798999,TOOL SLDR FIX FOR MS-151-C(LP),,"{’Accessory Type’: ’Termination Fixture’, ’For Use With/Related Products’: ’Termination Fixture’, ’RoHS Status’: ’Termination Fixture’, ’Moisture Sensitivity Level (MSL)’: ’Termination Fixture’, ’Standard Package’: ’Termination Fixture’}",,MS-151/BE-MP,,1,1,,
,Interconnect,Tools,Specialized Tools,"HIROSE ELECTRIC CO., LTD.",Box,Lead time ,No,EAR99,20 weeks,,TOOL CABLE CLMP JIG FOR IX,,"{’Tool Type’: ’Clamping Tool’, ’For Use With/Related Products’: ’Clamping Tool’, ’Weight’: ’Clamping Tool’, ’RoHS Status’: ’Clamping Tool’, ’Moisture Sensitivity Level (MSL)’: ’Clamping Tool’, ’Standard Package’: ’Clamping Tool’, ’Other Names’: ’Clam",https://www.hirose.com/en/product/document?clcode=&productname=&series=IX&documenttype=Catalog&lang=en&documentid=D144096_en,HT803/IXG-8/10S-63-72,,1,1,,
,Interconnect,Tools,Specialized Tools,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,,FH58 MATING TOOL (21),,"{’RoHS Status’: ’RoHS Compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS Compliant’, ’Standard Package’: ’RoHS Compliant’, ’Other Names’: ’RoHS Compliant’}",,FH58 MATING TOOL (21),,1,1,,
,Interconnect,Tools,Specialized Tools,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,,FH58 MATING TOOL M(7),,"{’RoHS Status’: ’RoHS Compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS Compliant’, ’Standard Package’: ’RoHS Compliant’, ’Other Names’: ’RoHS Compliant’}",,FH58 MATING TOOL M(7),,1,1,,
,Interconnect,Tools,Specialized Tools,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,,FH58 MATING TOOL (31),,"{’RoHS Status’: ’RoHS Compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS Compliant’, ’Standard Package’: ’RoHS Compliant’, ’Other Names’: ’RoHS Compliant’}",,FH58 MATING TOOL (31),,1,1,,
