Product Photo,Group Category ,Product Category,Product Sub-Category,Manufacturer Name,Available packaging,Stock Status,ROHS,ECCN,Lead Time,HSCode,Short Description,Price,Technical Specification,Datasheet Link,Manufacturer Part No,Quantity Available,Qty Multiple,Qty Min,COO,Series
http://ken.keyeuro.eu/img/14.jpg,Electromechanical Components,Mechanical Components,Multi-purpose hardware,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,853690100000,Eyelet,0.0475,,http://ken.keyeuro.eu/pdf/14.pdf,14,,100,500,US,
http://ken.keyeuro.eu/img/15.jpg,Electromechanical Components,Mechanical Components,Multi-purpose hardware,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,853690100000,Eyelet,0.0504,,http://ken.keyeuro.eu/pdf/15.pdf,15,,100,500,US,
http://ken.keyeuro.eu/img/16.jpg,Electromechanical Components,Mechanical Components,Multi-purpose hardware,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,853690100000,Eyelet,0.0523,,http://ken.keyeuro.eu/pdf/16.pdf,16,,100,500,US,
http://ken.keyeuro.eu/img/17.jpg,Electromechanical Components,Mechanical Components,Multi-purpose hardware,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,853690100000,Eyelet,0.0577,,http://ken.keyeuro.eu/pdf/17.pdf,17,,100,500,US,
http://ken.keyeuro.eu/img/22.jpg,Electromechanical Components,Mechanical Components,Multi-purpose hardware,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,732690989000,Eyelet,0.0322,,http://ken.keyeuro.eu/pdf/22.pdf,22,,100,500,US,
http://ken.keyeuro.eu/img/23.jpg,Electromechanical Components,Mechanical Components,Multi-purpose hardware,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,732690989000,Eyelet,0.0356,,http://ken.keyeuro.eu/pdf/23.pdf,23,,100,500,US,
http://ken.keyeuro.eu/img/24.jpg,Electromechanical Components,Mechanical Components,Multi-purpose hardware,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,732690989000,Eyelet,0.0359,,http://ken.keyeuro.eu/pdf/24.pdf,24,,100,500,US,
http://ken.keyeuro.eu/img/25.jpg,Electromechanical Components,Mechanical Components,Multi-purpose hardware,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,732690989000,Eyelet,0.0417,,http://ken.keyeuro.eu/pdf/25.pdf,25,,100,500,US,
http://ken.keyeuro.eu/img/26.jpg,Electromechanical Components,Mechanical Components,Multi-purpose hardware,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,732690989000,Eyelet,0.0434,,http://ken.keyeuro.eu/pdf/26.pdf,26,,100,500,US,
http://ken.keyeuro.eu/img/27.jpg,Electromechanical Components,Mechanical Components,Multi-purpose hardware,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,732690989000,Eyelet,0.0502,,http://ken.keyeuro.eu/pdf/27.pdf,27,,100,500,US,
