Product Photo,Group Category ,Product Category,Product Sub-Category,Manufacturer Name,Available packaging,Stock Status,ROHS,ECCN,Lead Time,HSCode,Short Description,Price,Technical Specification,Datasheet Link,Manufacturer Part No,Quantity Available,Qty Multiple,Qty Min,COO,Series
http://ken.keyeuro.eu/img/7702.jpg,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,PC screw terminal w/captivated screw,0.8116,,http://ken.keyeuro.eu/pdf/7702.pdf,7702,,100,100,US,
http://ken.keyeuro.eu/img/7710.jpg,Electromechanical Components,Mechanical Components,Spacers & standoffs,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.55E+11,Ceramic standoff,2.6448,,http://ken.keyeuro.eu/pdf/7710.pdf,7710,,100,50,US,
http://ken.keyeuro.eu/img/7711.jpg,Electromechanical Components,Mechanical Components,Spacers & standoffs,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.55E+11,Ceramic standoff,2.9923,,http://ken.keyeuro.eu/pdf/7711.pdf,7711,,100,50,US,
http://ken.keyeuro.eu/img/7712.jpg,Electromechanical Components,Mechanical Components,Spacers & standoffs,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.55E+11,Ceramic standoff,2.278,,http://ken.keyeuro.eu/pdf/7712.pdf,7712,,100,50,US,
http://ken.keyeuro.eu/img/7713.jpg,Electromechanical Components,Mechanical Components,Spacers & standoffs,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.55E+11,Ceramic standoff,2.5676,,http://ken.keyeuro.eu/pdf/7713.pdf,7713,,100,50,US,
http://ken.keyeuro.eu/img/7714.jpg,Electromechanical Components,Mechanical Components,Spacers & standoffs,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.55E+11,Ceramic standoff,2.7799,,http://ken.keyeuro.eu/pdf/7714.pdf,7714,,100,50,US,
http://ken.keyeuro.eu/img/7715.jpg,Electromechanical Components,Mechanical Components,Spacers & standoffs,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.55E+11,Ceramic standoff,2.9151,,http://ken.keyeuro.eu/pdf/7715.pdf,7715,,100,50,US,
http://ken.keyeuro.eu/img/7716.jpg,Electromechanical Components,Mechanical Components,Spacers & standoffs,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.55E+11,Ceramic standoff,3.1274,,http://ken.keyeuro.eu/pdf/7716.pdf,7716,,100,50,US,
http://ken.keyeuro.eu/img/7717.jpg,Electromechanical Components,Mechanical Components,Spacers & standoffs,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.55E+11,Ceramic standoff,3.7066,,http://ken.keyeuro.eu/pdf/7717.pdf,7717,,100,50,US,
http://ken.keyeuro.eu/img/7718.jpg,Electromechanical Components,Mechanical Components,Spacers & standoffs,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.55E+11,Ceramic standoff,4.7683,,http://ken.keyeuro.eu/pdf/7718.pdf,7718,,100,50,US,
http://ken.keyeuro.eu/img/7719.jpg,Electromechanical Components,Mechanical Components,Spacers & standoffs,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.55E+11,Ceramic standoff,6.6602,,http://ken.keyeuro.eu/pdf/7719.pdf,7719,,100,50,US,
http://ken.keyeuro.eu/img/7720.jpg,Electromechanical Components,Mechanical Components,Spacers & standoffs,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.55E+11,Ceramic standoff,8.0309,,http://ken.keyeuro.eu/pdf/7720.pdf,7720,,100,50,US,
http://ken.keyeuro.eu/img/7757.jpg,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Screw terminal,0.3346,,http://ken.keyeuro.eu/pdf/7757.pdf,7757,,100,100,US,
http://ken.keyeuro.eu/img/7758.jpg,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Screw terminal,0.3346,,http://ken.keyeuro.eu/pdf/7758.pdf,7758,,100,100,US,
http://ken.keyeuro.eu/img/7759.jpg,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Screw terminal,0.3347,,http://ken.keyeuro.eu/pdf/7759.pdf,7759,,100,100,US,
http://ken.keyeuro.eu/img/7760.jpg,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Metric screw terminal,0.2581,,http://ken.keyeuro.eu/pdf/7760.pdf,7760,,100,100,US,
http://ken.keyeuro.eu/img/7761.jpg,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Metric screw terminal,0.2693,,http://ken.keyeuro.eu/pdf/7761.pdf,7761,,100,100,US,
http://ken.keyeuro.eu/img/7762.jpg,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Metric screw terminal,0.3741,,http://ken.keyeuro.eu/pdf/7762.pdf,7762,,100,100,US,
http://ken.keyeuro.eu/img/7764.jpg,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Metric screw terminal,0.2581,,http://ken.keyeuro.eu/pdf/7764.pdf,7764,,100,100,US,
http://ken.keyeuro.eu/img/7765.jpg,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Metric screw terminal,0.2693,,http://ken.keyeuro.eu/pdf/7765.pdf,7765,,100,100,US,
http://ken.keyeuro.eu/img/7766.jpg,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Metric screw terminal,0.3764,,http://ken.keyeuro.eu/pdf/7766.pdf,7766,,100,100,US,
http://ken.keyeuro.eu/img/7767.jpg,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Metric screw terminal,0.2365,,http://ken.keyeuro.eu/pdf/7767.pdf,7767,,100,100,US,
,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Metric screw terminal,0.2485,,http://ken.keyeuro.eu/pdf/7768.pdf,7768,,100,100,US,
http://ken.keyeuro.eu/img/7769.jpg,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Metric screw terminal,0.3573,,http://ken.keyeuro.eu/pdf/7769.pdf,7769,,100,100,US,
http://ken.keyeuro.eu/img/7770.jpg,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Metric screw terminal,0.2365,,http://ken.keyeuro.eu/pdf/7770.pdf,7770,,100,100,US,
,Electromechanical Components,Mechanical Components,Terminals & test points,Keystone,Bulk,Lead time,Yes,EAR99,12 Weeks,8.54E+11,Metric screw terminal,0.2485,,http://ken.keyeuro.eu/pdf/7771.pdf,7771,,100,100,US,
