Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1,https://www.digikey.com/photos/Mec%20Switches/16250.JPG,Electromechanical Components,Switches,Accessories,16250,SWITCH EXTENDER,APEM (AN IDEC COMPANY),Bag,Lead time,26 Weeks,,100,100,,"{""Accessory Type"":"" Switch Extender"","" For Use With/Related Products"":"" Unimec Series"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 100"","" Other Names"":"" 679-1960""}",Yes,EAR99,85365090,https://www.apem.com/fr/img/cms/misc/brochures/MEC_ProductCatalogueno7.pdf,,
2,https://www.digikey.com/photos/Mec%20Switches/2S09-07.0.JPG,Electromechanical Components,Switches,Accessories,2S09-07.0,EXTENDER SWITCH 7MM HEIGHT,APEM (AN IDEC COMPANY),Bag,Lead time,28 Weeks,,100,100,,"{""Accessory Type"":"" Switch Extender"","" For Use With/Related Products"":"" Multimec Series"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 100"","" Other Names"":"" 2S09070""}",Yes,EAR99,85365090,,,
3,https://www.digikey.com/Photos/Mec%20Switches/2SS09-07.0.jpg,Electromechanical Components,Switches,Accessories,2SS09-07.0,5 SERIES 7MM EXTENDER,APEM (AN IDEC COMPANY),Bulk,Lead time,26 Weeks,,100,100,,"{""Accessory Type"":"" Switch Extender"","" For Use With/Related Products"":"" Multimec Series"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 100"","" Other Names"":"" 2SS09070""}",Yes,EAR99,85365090,,,
4,https://www.digikey.com/photos/Mec%20Switches/2S09-05.0.jpg,Electromechanical Components,Switches,Accessories,2S09-05.0,EXTENDER SWITCH 5MM HEIGHT,APEM (AN IDEC COMPANY),Bag,Lead time,26 Weeks,,100,100,,"{""Accessory Type"":"" Switch Extender"","" For Use With/Related Products"":"" Multimec Series"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 100"","" Other Names"":"" 2S09050""}",Yes,EAR99,85365090,,,
5,https://www.digikey.com/photos/Mec%20Switches/2S09-06.0.JPG,Electromechanical Components,Switches,Accessories,2S09-06.0,EXTENDER SWITCH 6MM HEIGHT,APEM (AN IDEC COMPANY),Bag,Lead time,26 Weeks,,100,100,,"{""Accessory Type"":"" Switch Extender"","" For Use With/Related Products"":"" Multimec Series"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 100"","" Other Names"":"" 2S09060""}",Yes,EAR99,85365090,,,
6,https://www.digikey.com/photos/Mec%20Switches/1631003.JPG,Electromechanical Components,Switches,Accessories,1631003,BEZEL SWITCH GRAY,APEM (AN IDEC COMPANY),Bag,Lead time,26 Weeks,,100,100,,"{""Accessory Type"":"" Switch Bezel"","" For Use With/Related Products"":"" Unimec Series"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" Not Applicable"","" California Prop 65"":"" "","" Standard Package"":"" 100"","" Other Names"":"" 679-1989""}",Yes,EAR99,85365090,https://www.apem.com/us/index.php?controller=attachment&id_attachment=540,,
7,https://www.digikey.com/Photos/Mec%20Switches/1ZY.JPG,Electromechanical Components,Switches,Accessories,1ZY,SEALING SUPPORT,APEM (AN IDEC COMPANY),Bag,Lead time,26 Weeks,,100,100,,"{""Accessory Type"":"" Seal Support"","" For Use With/Related Products"":"" Multimec Series"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" Not Applicable"","" California Prop 65"":"" "","" Standard Package"":"" 100"","" Other Names"":"" 679-2610""}",Yes,EAR99,85365090,https://www.apem.com/int/index.php?controller=attachment&id_attachment=1371,,
8,https://www.digikey.com/photos/Mec%20Switches/2S09-10.0.JPG,Electromechanical Components,Switches,Accessories,2S09-10.0,EXTENDER SWITCH 10MM HEIGHT,APEM (AN IDEC COMPANY),Bag,Lead time,26 Weeks,,100,100,,"{""Accessory Type"":"" Switch Extender"","" For Use With/Related Products"":"" Multimec Series"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 100"","" Other Names"":"" 2S09100""}",Yes,EAR99,85365090,,,
9,https://www.digikey.com/Photos/Mec%20Switches/2SS09-05.0.jpg,Electromechanical Components,Switches,Accessories,2SS09-05.0,5 SERIES 5MM EXTENDER,APEM (AN IDEC COMPANY),Bulk,Lead time,26 Weeks,,100,100,,"{""Accessory Type"":"" Switch Extender"","" For Use With/Related Products"":"" Multimec Series"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 100"","" Other Names"":"" 2SS09050""}",Yes,EAR99,85365090,,,
10,https://www.digikey.com/photos/Mec%20Switches/2S09-09.0.JPG,Electromechanical Components,Switches,Accessories,2S09-09.0,EXTENDER SWITCH 9MM HEIGHT,APEM (AN IDEC COMPANY),Bag,Lead time,26 Weeks,,100,100,,"{""Accessory Type"":"" Switch Extender"","" For Use With/Related Products"":"" Multimec Series"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 100"","" Other Names"":"" 2S09090""}",Yes,EAR99,85365090,,,
