Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link
1,https://static.wixstatic.com/media/7db2d6_05a1a20ce16d48c09b53af8dfbb2ba68~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,2201,"PUSHBTN SWITCH,RED",Grayhill,Bulk,Lead Time,18 weeks,0,1,25,17.89,0,Yes,EAR 99,,https://www.grayhill.com/documents/7-2000-Datasheet
2,https://static.wixstatic.com/media/7db2d6_af10e9338ac6479a93e18ab2b7bb1d08~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,2202,"PUSHBTN SWITCH,BLK",Grayhill,Bulk,Lead Time,18 weeks,0,1,25,19.08,0,Yes,EAR 99,,https://www.grayhill.com/documents/7-2000-Datasheet
3,https://static.wixstatic.com/media/7db2d6_af10e9338ac6479a93e18ab2b7bb1d08~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,4001,PUSHBTN SWITCH,Grayhill,Bulk,Lead Time,18 weeks,0,1,25,5.75,0,Yes,EAR 99,,https://www.grayhill.com/documents/10-4000-Datasheet
4,https://static.wixstatic.com/media/7db2d6_6d74b3dab99546049dc3ca672bb146c1~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,4002,PUSHBTN SWITCH,Grayhill,Bulk,Lead Time,18 weeks,0,1,25,5.75,0,Yes,EAR 99,,https://www.grayhill.com/documents/10-4000-Datasheet
5,https://static.wixstatic.com/media/7db2d6_6d74b3dab99546049dc3ca672bb146c1~mv2.jpg,Electromechanical Components,Rotary,Rotary,513384,"51P30-01-1-ADJ,BCD COMP",Grayhill,Bulk,Lead Time,18 weeks,0,1,25,21.25,0,Yes,EAR 99,,https://www.grayhill.com/documents/51BCD-Datasheet
6,https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,Rotary,Rotary,513385,"51P30-01-1-ADJ,BCD",Grayhill,Bulk,Lead Time,18 weeks,0,1,25,21.25,0,Yes,EAR 99,,https://www.grayhill.com/documents/51BCD-Datasheet
7,https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,KnobsClipsPosts,KnobsClipsPosts,02-0,TEST CLIP,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,2.2,0,Yes,EAR 99,,https://www.grayhill.com/documents/Test-Clips-Datasheet
8,https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,KnobsClipsPosts,KnobsClipsPosts,44198,TEST CLIP,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,3.56,0,Yes,EAR 99,,https://www.grayhill.com/documents/Test-Clips-Datasheet
9,https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,KnobsClipsPosts,KnobsClipsPosts,43862,TEST CLIP,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,2.49,0,Yes,EAR 99,,https://www.grayhill.com/documents/Test-Clips-Datasheet
10,https://static.wixstatic.com/media/7db2d6_ba3bb06dcea14ab19ba96ad7a1b7efe3~mv2.jpg,Electromechanical Components,KnobsClipsPosts,KnobsClipsPosts,44228,"TEST CLIP,W/BP",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,3.64,0,Yes,EAR 99,,https://www.grayhill.com/documents/Test-Clips-Datasheet
