Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1,https://www.digikey.com/Photos/Schroff/23001007.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001007,BACKPLANE 3U 7 CHAN VME J1,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 3U"","" Interface"":"" 3U"","" Connector Spacing"":"" 3U"","" RoHS Status"":"" 3U"","" Moisture Sensitivity Level (MSL)"":"" 3U"","" Standard Package"":"" 3U"","" Other Names"":"" 3U""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
2,https://www.digikey.com/Photos/Schroff/23001005.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001005,BACKPLANE 3U 5 CHAN VME J1,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 3U"","" Interface"":"" 3U"","" Connector Spacing"":"" 3U"","" RoHS Status"":"" 3U"","" Moisture Sensitivity Level (MSL)"":"" 3U"","" Standard Package"":"" 3U"","" Other Names"":"" 3U""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
3,https://www.digikey.com/Photos/Schroff/23001010.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001010,BACKPLANE 3U 10 CHAN VME J1,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 3U"","" Interface"":"" 3U"","" Connector Spacing"":"" 3U"","" RoHS Status"":"" 3U"","" Moisture Sensitivity Level (MSL)"":"" 3U"","" Standard Package"":"" 3U"","" Other Names"":"" 3U""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
4,https://www.digikey.com/Photos/Schroff/23006300.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23006300,BACKPLANE 3U 8 CHAN COMPACTPCI,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 3U"","" Interface"":"" 3U"","" Connector Spacing"":"" 3U"","" RoHS Status"":"" 3U"","" Moisture Sensitivity Level (MSL)"":"" 3U"","" Standard Package"":"" 3U"","" Other Names"":"" 3U""}",Yes,EAR99,90318000,,,backplanes
5,https://www.digikey.com/Photos/Schroff/23001535.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001535,BACKPLANE 6U 5 CHAN VME J1/J2,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 6U"","" Number of Channels"":"" 6U"","" Interface"":"" 6U"","" Connector Spacing"":"" 6U"","" RoHS Status"":"" 6U"","" Moisture Sensitivity Level (MSL)"":"" 6U"","" Standard Package"":"" 6U"","" Other Names"":"" 6U""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
6,https://www.digikey.com/Photos/Schroff/23001004.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001004,BACKPLANE 3U 4 CHAN VME J1,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 3U"","" Interface"":"" 3U"","" Connector Spacing"":"" 3U"","" RoHS Status"":"" 3U"","" Moisture Sensitivity Level (MSL)"":"" 3U"","" Standard Package"":"" 3U"","" Other Names"":"" 3U""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
7,https://www.digikey.com/Photos/Schroff/23006814.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23006814,BACKPLANE 3U 4 CHAN COMPACTPCI,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 3U"","" Interface"":"" 3U"","" Connector Spacing"":"" 3U"","" RoHS Status"":"" 3U"","" Moisture Sensitivity Level (MSL)"":"" 3U"","" Standard Package"":"" 3U"","" Other Names"":"" 3U""}",Yes,EAR99,90318000,http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-075.pdf,,backplanes
8,https://www.digikey.com/Photos/Schroff/23001069.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001069,BACKPLANE 6U 9 CHAN VME J1/J2,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 6U"","" Number of Channels"":"" 6U"","" Interface"":"" 6U"","" Connector Spacing"":"" 6U"","" RoHS Status"":"" 6U"","" Moisture Sensitivity Level (MSL)"":"" 6U"","" Standard Package"":"" 6U"","" Other Names"":"" 6U""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
9,https://www.digikey.com/Photos/Schroff/30845253.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Rack Accessories,30845253,SUBRACK REAR ALIGNMENT STRP 84HP,NVENT SCHROFF,Bulk,Lead time,12 Weeks,,1,1,,"{""Accessory Type"":"" Perforated Strip"","" Features"":"" Perforated Strip"","" For Use With/Related Products"":"" Perforated Strip"","" RoHS Status"":"" Perforated Strip"","" Moisture Sensitivity Level (MSL)"":"" Perforated Strip"","" Standard Package"":"" Perforated Strip"","" Other Names"":"" Perforated Strip""}",,EAR99,90318000,http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,,ratiopacpro-compacpro-comptec-series-case-platforms
10,https://www.digikey.com/Photos/Schroff/23001021.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001021,BACKPLANE 3U 21 CHAN VME J1,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 3U"","" Interface"":"" 3U"","" Connector Spacing"":"" 3U"","" RoHS Status"":"" 3U"","" Moisture Sensitivity Level (MSL)"":"" 3U"","" Standard Package"":"" 3U"","" Other Names"":"" 3U""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
11,https://www.digikey.com/Photos/Schroff/23006815.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23006815,BACKPLANE 3U 5 CHAN COMPACTPCI,NVENT SCHROFF,Box,Lead time,,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 3U"","" Interface"":"" 3U"","" Connector Spacing"":"" 3U"","" RoHS Status"":"" 3U"","" Moisture Sensitivity Level (MSL)"":"" 3U"","" Standard Package"":"" 3U"","" Other Names"":"" 3U""}",Yes,EAR99,90318000,http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-075.pdf,,backplanes
12,https://www.digikey.com/Photos/Schroff/23006355.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23006355,BACKPLANE 3U 5 CHAN COMPACTPCI,NVENT SCHROFF,Box,Lead time,,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 3U"","" Interface"":"" 3U"","" Connector Spacing"":"" 3U"","" RoHS Status"":"" 3U"","" Moisture Sensitivity Level (MSL)"":"" 3U"","" Standard Package"":"" 3U"","" Other Names"":"" 3U""}",Yes,EAR99,90318000,,,backplanes
13,https://www.digikey.com/Photos/Schroff/23006864.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23006864,BACKPLANE 6U 4 CHAN COMPACTPCI,NVENT SCHROFF,Box,Lead time,,,1,1,,"{""Panel Units"":"" 6U"","" Number of Channels"":"" 6U"","" Interface"":"" 6U"","" Connector Spacing"":"" 6U"","" RoHS Status"":"" 6U"","" Moisture Sensitivity Level (MSL)"":"" 6U"","" Standard Package"":"" 6U"","" Other Names"":"" 6U""}",Yes,EAR99,90318000,http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-075.pdf,,backplanes
14,https://www.digikey.com/Photos/Schroff/23006865.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23006865,BACKPLANE 6U 5 CHAN COMPACTPCI,NVENT SCHROFF,Box,Lead time,,,1,1,,"{""Panel Units"":"" 6U"","" Number of Channels"":"" 6U"","" Interface"":"" 6U"","" Connector Spacing"":"" 6U"","" RoHS Status"":"" 6U"","" Moisture Sensitivity Level (MSL)"":"" 6U"","" Standard Package"":"" 6U"","" Other Names"":"" 6U""}",Yes,EAR99,90318000,http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-075.pdf,,backplanes
15,https://www.digikey.com/Photos/Schroff/23001508.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001508,BACKPLANE 6U 8 CHAN VME J1/J2,NVENT SCHROFF,Box,Lead time,,,1,1,,"{""Panel Units"":"" 6U"","" Number of Channels"":"" 6U"","" Interface"":"" 6U"","" Connector Spacing"":"" 6U"","" RoHS Status"":"" 6U"","" Moisture Sensitivity Level (MSL)"":"" 6U"","" Standard Package"":"" 6U"","" Other Names"":"" 6U""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
16,https://www.digikey.com/Photos/Schroff/23001540.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001540,BACKPLANE 6U 10 CHAN VME J1/J2,NVENT SCHROFF,Box,Lead time,,,1,1,,"{""Panel Units"":"" 6U"","" Number of Channels"":"" 6U"","" Interface"":"" 6U"","" Connector Spacing"":"" 6U"","" RoHS Status"":"" 6U"","" Moisture Sensitivity Level (MSL)"":"" 6U"","" Standard Package"":"" 6U"","" Other Names"":"" 6U""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
17,https://www.digikey.com/Photos/Schroff/23001551.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001551,BACKPLANE 6U 21 CHAN VME J1/J2,NVENT SCHROFF,Box,Lead time,,,1,1,,"{""Panel Units"":"" 6U"","" Number of Channels"":"" 6U"","" Interface"":"" 6U"","" Connector Spacing"":"" 6U"","" RoHS Status"":"" 6U"","" Moisture Sensitivity Level (MSL)"":"" 6U"","" Standard Package"":"" 6U"","" Other Names"":"" 6U""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
18,https://www.digikey.com/Photos/Schroff/24560884.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Rack Accessories,24560884,SUBRACK INSUL STRIP 84HP 10PCS,NVENT SCHROFF,Bag,Lead time,12 Weeks,,1,1,,"{""Accessory Type"":"" Insulation Strip"","" Features"":"" Insulation Strip"","" For Use With/Related Products"":"" Insulation Strip"","" RoHS Status"":"" Insulation Strip"","" Moisture Sensitivity Level (MSL)"":"" Insulation Strip"","" Standard Package"":"" Insulation Strip"","" Other Names"":"" Insulation Strip""}",,EAR99,90318000,http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,,ratiopacpro-compacpro-comptec-series-case-platforms
19,https://www.digikey.com/Photos/Schroff/64560010.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Rack Accessories,64560010,SUBRACK 6U SPLITTING KIT,NVENT SCHROFF,Bulk,Lead time,12 Weeks,,1,1,,"{""Accessory Type"":"" Mounting Hardware"","" Features"":"" Mounting Hardware"","" For Use With/Related Products"":"" Mounting Hardware"","" RoHS Status"":"" Mounting Hardware"","" Moisture Sensitivity Level (MSL)"":"" Mounting Hardware"","" Standard Package"":"" Mounting Hardware"","" Other Names"":"" Mounting Hardware""}",,EAR99,90318000,http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,,ratiopacpro-compacpro-comptec-series-case-platforms
