Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1,https://www.digikey.com/Photos/Schroff/23001007.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001007,BACKPLANE 3U 7 CHAN VME J1,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 7"","" Interface"":"" VME J1"","" Connector Spacing"":"" 0800"" (2032mm)"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1439-1381""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
2,https://www.digikey.com/Photos/Schroff/23001005.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001005,BACKPLANE 3U 5 CHAN VME J1,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 5"","" Interface"":"" VME J1"","" Connector Spacing"":"" 0800"" (2032mm)"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1439-1380""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
3,https://www.digikey.com/Photos/Schroff/23001010.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001010,BACKPLANE 3U 10 CHAN VME J1,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 10"","" Interface"":"" VME J1"","" Connector Spacing"":"" 0800"" (2032mm)"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1439-1383""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
4,https://www.digikey.com/Photos/Schroff/23006300.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23006300,BACKPLANE 3U 8 CHAN COMPACTPCI,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 8"","" Interface"":"" CompactPCI"","" Connector Spacing"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1439-1389""}",Yes,EAR99,90318000,,,backplanes
5,https://www.digikey.com/Photos/Schroff/23001535.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001535,BACKPLANE 6U 5 CHAN VME J1/J2,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 6U"","" Number of Channels"":"" 5"","" Interface"":"" VME J1/J2"","" Connector Spacing"":"" 0800"" (2032mm)"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1439-1385""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
6,https://www.digikey.com/Photos/Schroff/23001004.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001004,BACKPLANE 3U 4 CHAN VME J1,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 4"","" Interface"":"" VME J1"","" Connector Spacing"":"" 0800"" (2032mm)"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1439-1379""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
7,https://www.digikey.com/Photos/Schroff/23006814.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23006814,BACKPLANE 3U 4 CHAN COMPACTPCI,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 4"","" Interface"":"" CompactPCI"","" Connector Spacing"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1439-1391""}",Yes,EAR99,90318000,http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-075.pdf,,backplanes
8,https://www.digikey.com/Photos/Schroff/23001069.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001069,BACKPLANE 6U 9 CHAN VME J1/J2,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 6U"","" Number of Channels"":"" 9"","" Interface"":"" VME J1/J2"","" Connector Spacing"":"" 0800"" (2032mm)"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1439-1382""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
9,https://www.digikey.com/Photos/Schroff/30845253.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Rack Accessories,30845253,SUBRACK REAR ALIGNMENT STRP 84HP,NVENT SCHROFF,Bulk,Lead time,12 Weeks,,1,1,,"{""Accessory Type"":"" Perforated Strip"","" Features"":"" -"","" For Use With/Related Products"":"" Plug-in Units"","" RoHS Status"":"" Not applicable"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1439-1276""}",,EAR99,90318000,http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,,ratiopacpro-compacpro-comptec-series-case-platforms
10,https://www.digikey.com/Photos/Schroff/23001021.jpg,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23001021,BACKPLANE 3U 21 CHAN VME J1,NVENT SCHROFF,Box,Lead time,12 Weeks,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 21"","" Interface"":"" VME J1"","" Connector Spacing"":"" 0800"" (2032mm)"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1439-1384""}",Yes,EAR99,90318000,https://enclosures.nvent.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,,backplanes
11,https://www.digikey.com/Photos/Schroff/23006815.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23006815,BACKPLANE 3U 5 CHAN COMPACTPCI,NVENT SCHROFF,Box,Lead time,,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 5"","" Interface"":"" CompactPCI"","" Connector Spacing"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1439-1393""}",Yes,EAR99,90318000,http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-075.pdf,,backplanes
12,https://www.digikey.com/Photos/Schroff/23006355.JPG,Electromechanical Components,"Boxes, Enclosures, Racks",Backplanes,23006355,BACKPLANE 3U 5 CHAN COMPACTPCI,NVENT SCHROFF,Box,Lead time,,,1,1,,"{""Panel Units"":"" 3U"","" Number of Channels"":"" 5"","" Interface"":"" CompactPCI"","" Connector Spacing"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1439-1390""}",Yes,EAR99,90318000,,,backplanes
