Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1,https://www.digikey.com/Photos/Rubycon/MFG_63MU223MZ12012.jpg,Passive Components,Capacitors,Film Capacitors,50MU104MA13216,CAP FILM 0.1UF 20% 50VDC 1206,RUBYCON CORP.,Tape and Reel,Lead time,22 Weeks,,"3,000","3,000",,"{""Capacitance"":"" 01F"","" Tolerance"":"" 01F"","" Voltage Rating - AC"":"" 01F"","" Voltage Rating - DC"":"" 01F"","" Dielectric Material"":"" 01F"","" Operating Temperature"":"" 01F"","" Mounting Type"":"" 01F"","" Package / Case"":"" 01F"","" Size / Dimension"":"" 01F"","" Height - Seated (Max)"":"" 01F"","" Termination"":"" 01F"","" Lead Spacing"":"" 01F"","" Applications"":"" 01F"","" Ratings"":"" 01F"","" Features"":"" 01F"","" RoHS Status"":"" 01F"","" Moisture Sensitivity Level (MSL)"":"" 01F"","" Standard Package"":"" 01F"","" Other Names"":"" 01F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/e_MU.pdf,,
2,https://www.digikey.com/Photos/Rubycon/2.5DMB2R2M8X16.jpg,Passive Components,Capacitors,"Electric Double Layer Capacitors (EDLC), Supercapacitors",2.5DMB2R2M8X16,CAP 2.2F 20% 2.5V THROUGH HOLE,RUBYCON CORP.,Bulk,Lead time,22 Weeks,,"1,000","1,000",,"{""Capacitance"":"" 22F"","" Tolerance"":"" 22F"","" Voltage - Rated"":"" 22F"","" ESR (Equivalent Series Resistance)"":"" 22F"","" Lifetime @ Temp"":"" 22F"","" Termination"":"" 22F"","" Mounting Type"":"" 22F"","" Package / Case"":"" 22F"","" Lead Spacing"":"" 22F"","" Size / Dimension"":"" 22F"","" Height - Seated (Max)"":"" 22F"","" Operating Temperature"":"" 22F"","" RoHS Status"":"" 22F"","" Moisture Sensitivity Level (MSL)"":"" 22F"","" Standard Package"":"" 22F"","" Other Names"":"" 22F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/edlc/e_DMA_DMB.pdf,,
3,https://www.digikey.com/Photos/Rubycon/2.5DMB4R7M10X20.jpg,Passive Components,Capacitors,"Electric Double Layer Capacitors (EDLC), Supercapacitors",2.5DMB4R7M10X20,CAP 4.7F 20% 2.5V THROUGH HOLE,RUBYCON CORP.,Bulk,Lead time,26 Weeks,,"1,000","1,000",,"{""Capacitance"":"" 47F"","" Tolerance"":"" 47F"","" Voltage - Rated"":"" 47F"","" ESR (Equivalent Series Resistance)"":"" 47F"","" Lifetime @ Temp"":"" 47F"","" Termination"":"" 47F"","" Mounting Type"":"" 47F"","" Package / Case"":"" 47F"","" Lead Spacing"":"" 47F"","" Size / Dimension"":"" 47F"","" Height - Seated (Max)"":"" 47F"","" Operating Temperature"":"" 47F"","" RoHS Status"":"" 47F"","" Moisture Sensitivity Level (MSL)"":"" 47F"","" Standard Package"":"" 47F"","" Other Names"":"" 47F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/edlc/e_DMA_DMB.pdf,,
4,https://www.digikey.com/Photos/Rubycon/MFG_63MU223MZ12012.jpg,Passive Components,Capacitors,Film Capacitors,50MU104MA13216,CAP FILM 0.1UF 20% 50VDC 1206,RUBYCON CORP.,Tape,Lead time,22 Weeks,,1,1,,"{""Capacitance"":"" 01F"","" Tolerance"":"" 01F"","" Voltage Rating - AC"":"" 01F"","" Voltage Rating - DC"":"" 01F"","" Dielectric Material"":"" 01F"","" Operating Temperature"":"" 01F"","" Mounting Type"":"" 01F"","" Package / Case"":"" 01F"","" Size / Dimension"":"" 01F"","" Height - Seated (Max)"":"" 01F"","" Termination"":"" 01F"","" Lead Spacing"":"" 01F"","" Applications"":"" 01F"","" Ratings"":"" 01F"","" Features"":"" 01F"","" RoHS Status"":"" 01F"","" Moisture Sensitivity Level (MSL)"":"" 01F"","" Standard Package"":"" 01F"","" Other Names"":"" 01F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/e_MU.pdf,,
5,https://www.digikey.com/Photos/Rubycon/50PX330MEFC10X16.JPG,Passive Components,Capacitors,Aluminum Electrolytic Capacitors,25PX1000MEFCT810X16,CAP ALUM 1000UF 20% 25V RADIAL,RUBYCON CORP.,Tape and Box,Lead time,,,500,500,,"{""Capacitance"":"" 1000F"","" Tolerance"":"" 1000F"","" Voltage - Rated"":"" 1000F"","" ESR (Equivalent Series Resistance)"":"" 1000F"","" Lifetime @ Temp"":"" 1000F"","" Operating Temperature"":"" 1000F"","" Polarization"":"" 1000F"","" Ratings"":"" 1000F"","" Applications"":"" 1000F"","" Ripple Current @ Low Frequency"":"" 1000F"","" Ripple Current @ High Frequency"":"" 1000F"","" Lead Spacing"":"" 1000F"","" Size / Dimension"":"" 1000F"","" Height - Seated (Max)"":"" 1000F"","" Surface Mount Land Size"":"" 1000F"","" Mounting Type"":"" 1000F"","" Package / Case"":"" 1000F"","" RoHS Status"":"" 1000F"","" Moisture Sensitivity Level (MSL)"":"" 1000F"","" Standard Package"":"" 1000F"","" Other Names"":"" 1000F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_px.pdf,,
6,https://www.digikey.com/Photos/Rubycon/MFG_PEV-Series_8X10.5.jpg,Passive Components,Capacitors,Aluminum - Polymer Capacitors,50PEV100M10X10.5,CAP ALUM POLY HYB 100UF 50V SMD,RUBYCON CORP.,Tape and Reel,Lead time,,,500,500,,"{""Type"":"" Hybrid"","" Capacitance"":"" Hybrid"","" Tolerance"":"" Hybrid"","" Voltage - Rated"":"" Hybrid"","" ESR (Equivalent Series Resistance)"":"" Hybrid"","" Lifetime @ Temp"":"" Hybrid"","" Operating Temperature"":"" Hybrid"","" Ratings"":"" Hybrid"","" Applications"":"" Hybrid"","" Ripple Current @ Low Frequency"":"" Hybrid"","" Ripple Current @ High Frequency"":"" Hybrid"","" Lead Spacing"":"" Hybrid"","" Size / Dimension"":"" Hybrid"","" Height - Seated (Max)"":"" Hybrid"","" Surface Mount Land Size"":"" Hybrid"","" Mounting Type"":"" Hybrid"","" Package / Case"":"" Hybrid"","" RoHS Status"":"" Hybrid"","" Moisture Sensitivity Level (MSL)"":"" Hybrid"","" Standard Package"":"" Hybrid"","" Other Names"":"" Hybrid""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pzcap/e_PEV.pdf,,PEV Series Capacitors
7,https://www.digikey.com/Photos/Rubycon/MFG_63MU223MZ12012.jpg,Passive Components,Capacitors,Film Capacitors,50MU104MA13216,CAP FILM 0.1UF 20% 50VDC 1206,RUBYCON CORP.,Reel,Lead time,22 Weeks,,1,1,,"{""Capacitance"":"" 01F"","" Tolerance"":"" 01F"","" Voltage Rating - AC"":"" 01F"","" Voltage Rating - DC"":"" 01F"","" Dielectric Material"":"" 01F"","" Operating Temperature"":"" 01F"","" Mounting Type"":"" 01F"","" Package / Case"":"" 01F"","" Size / Dimension"":"" 01F"","" Height - Seated (Max)"":"" 01F"","" Termination"":"" 01F"","" Lead Spacing"":"" 01F"","" Applications"":"" 01F"","" Ratings"":"" 01F"","" Features"":"" 01F"","" RoHS Status"":"" 01F"","" Moisture Sensitivity Level (MSL)"":"" 01F"","" Standard Package"":"" 01F"","" Other Names"":"" 01F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/e_MU.pdf,,
8,https://www.digikey.com/Photos/Rubycon/MFG_63MU223MZ12012.jpg,Passive Components,Capacitors,Film Capacitors,25MU105MA23216,CAP FILM 1UF 20% 25VDC 1206,RUBYCON CORP.,Tape and Reel,Lead time,22 Weeks,,"2,000","2,000",,"{""Capacitance"":"" 1F"","" Tolerance"":"" 1F"","" Voltage Rating - AC"":"" 1F"","" Voltage Rating - DC"":"" 1F"","" Dielectric Material"":"" 1F"","" Operating Temperature"":"" 1F"","" Mounting Type"":"" 1F"","" Package / Case"":"" 1F"","" Size / Dimension"":"" 1F"","" Height - Seated (Max)"":"" 1F"","" Termination"":"" 1F"","" Lead Spacing"":"" 1F"","" Applications"":"" 1F"","" Ratings"":"" 1F"","" Features"":"" 1F"","" RoHS Status"":"" 1F"","" Moisture Sensitivity Level (MSL)"":"" 1F"","" Standard Package"":"" 1F"","" Other Names"":"" 1F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/e_MU.pdf,,
9,https://www.digikey.com/Photos/Rubycon/MFG_63MU223MZ12012.jpg,Passive Components,Capacitors,Film Capacitors,25MU105MA23216,CAP FILM 1UF 20% 25VDC 1206,RUBYCON CORP.,Reel,Lead time,22 Weeks,,1,1,,"{""Capacitance"":"" 1F"","" Tolerance"":"" 1F"","" Voltage Rating - AC"":"" 1F"","" Voltage Rating - DC"":"" 1F"","" Dielectric Material"":"" 1F"","" Operating Temperature"":"" 1F"","" Mounting Type"":"" 1F"","" Package / Case"":"" 1F"","" Size / Dimension"":"" 1F"","" Height - Seated (Max)"":"" 1F"","" Termination"":"" 1F"","" Lead Spacing"":"" 1F"","" Applications"":"" 1F"","" Ratings"":"" 1F"","" Features"":"" 1F"","" RoHS Status"":"" 1F"","" Moisture Sensitivity Level (MSL)"":"" 1F"","" Standard Package"":"" 1F"","" Other Names"":"" 1F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/e_MU.pdf,,
10,https://www.digikey.com/Photos/Rubycon/MFG_63MU223MZ12012.jpg,Passive Components,Capacitors,Film Capacitors,25MU105MA23216,CAP FILM 1UF 20% 25VDC 1206,RUBYCON CORP.,Tape,Lead time,22 Weeks,,1,1,,"{""Capacitance"":"" 1F"","" Tolerance"":"" 1F"","" Voltage Rating - AC"":"" 1F"","" Voltage Rating - DC"":"" 1F"","" Dielectric Material"":"" 1F"","" Operating Temperature"":"" 1F"","" Mounting Type"":"" 1F"","" Package / Case"":"" 1F"","" Size / Dimension"":"" 1F"","" Height - Seated (Max)"":"" 1F"","" Termination"":"" 1F"","" Lead Spacing"":"" 1F"","" Applications"":"" 1F"","" Ratings"":"" 1F"","" Features"":"" 1F"","" RoHS Status"":"" 1F"","" Moisture Sensitivity Level (MSL)"":"" 1F"","" Standard Package"":"" 1F"","" Other Names"":"" 1F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/e_MU.pdf,,
