Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1,www.digikey.com/Photos/Conec%20Photos/43-01003.jpg,INTERCONNECT,Cable Assemblies,Circular Cable Assemblies,43-01003,CBL FMALE TO WIRE LEAD 4P 1.64,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""1st Connector Type"":"" Plug"","" 1st Connector Gender"":"" Plug"","" 1st Connector Number of Positions"":"" Plug"","" 1st Connector Number of Positions Loaded"":"" Plug"","" 1st Connector Shell Size - Insert"":"" Plug"","" 1st Connector Orientation"":"" Plug"","" 1st Connector Mounting Type"":"" Plug"","" 2nd Connector Type"":"" Plug"","" 2nd Connector Gender"":"" Plug"","" 2nd Connector Number of Positions"":"" Plug"","" 2nd Connector Number of Positions Loaded"":"" Plug"","" 2nd Connector Shell Size - Insert"":"" Plug"","" 2nd Connector Orientation"":"" Plug"","" 2nd Connector Mounting Type"":"" Plug"","" Length"":"" Plug"","" Assembly Configuration"":"" Plug"","" Cable Type"":"" Plug"","" Cable Material"":"" Plug"","" Color"":"" Plug"","" Shielding"":"" Plug"","" Ingress Protection"":"" Plug"","" Usage"":"" Plug"","" RoHS Status"":"" Plug"","" Moisture Sensitivity Level (MSL)"":"" Plug"","" Standard Package"":"" Plug"","" Other Names"":"" Plug""}",Yes,EAR99,85444999,https://conec.com/catalog/en/download/download/drawing/?sku=43-01003,,
2,www.digikey.com/Photos/Conec%20Photos/43-01011.jpg,INTERCONNECT,Cable Assemblies,Circular Cable Assemblies,43-01011,CBL MALE TO WIRE LEAD 8POS 1.64,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""1st Connector Type"":"" Receptacle"","" 1st Connector Gender"":"" Receptacle"","" 1st Connector Number of Positions"":"" Receptacle"","" 1st Connector Number of Positions Loaded"":"" Receptacle"","" 1st Connector Shell Size - Insert"":"" Receptacle"","" 1st Connector Orientation"":"" Receptacle"","" 1st Connector Mounting Type"":"" Receptacle"","" 2nd Connector Type"":"" Receptacle"","" 2nd Connector Gender"":"" Receptacle"","" 2nd Connector Number of Positions"":"" Receptacle"","" 2nd Connector Number of Positions Loaded"":"" Receptacle"","" 2nd Connector Shell Size - Insert"":"" Receptacle"","" 2nd Connector Orientation"":"" Receptacle"","" 2nd Connector Mounting Type"":"" Receptacle"","" Length"":"" Receptacle"","" Assembly Configuration"":"" Receptacle"","" Cable Type"":"" Receptacle"","" Cable Material"":"" Receptacle"","" Color"":"" Receptacle"","" Shielding"":"" Receptacle"","" Ingress Protection"":"" Receptacle"","" Usage"":"" Receptacle"","" RoHS Status"":"" Receptacle"","" Moisture Sensitivity Level (MSL)"":"" Receptacle"","" Standard Package"":"" Receptacle"","" Other Names"":"" Receptacle""}",Yes,EAR99,85444999,https://conec.com/catalog/en/download/download/drawing/?sku=43-01009,,
3,www.digikey.com/Photos/Conec%20Photos/17-200001.jpg,INTERCONNECT,"Connectors, Interconnects","USB, DVI, HDMI Connectors - Adapters",17-200001,ADAPTER USB A RCPT TO USB A RCPT,CONEC,Bag,Lead time,10 Weeks,,10,10,,"{""Convert From (Adapter End)"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Convert To (Adapter End)"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Mounting Type"":"" USB-A (USB TYPE-A)"","" Receptacle"","" RoHS Status"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Moisture Sensitivity Level (MSL)"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Standard Package"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Other Names"":"" USB-A (USB TYPE-A)"","" Receptacle""}",Yes,EAR99,85366990,https://conec.com/catalog/en/download/download/drawing/?sku=17-200001,,USB 2.0 - IP67 Connector System
4,www.digikey.com/Photos/Conec%20Photos/17-101710.jpg,INTERCONNECT,"Connectors, Interconnects","USB, DVI, HDMI Connectors - Accessories",17-101710,CONN COVER FOR USB A PLUG,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Accessory Type"":"" Cover"","" For Use With/Related Products"":"" Cover"","" RoHS Status"":"" Cover"","" Moisture Sensitivity Level (MSL)"":"" Cover"","" Standard Package"":"" Cover"","" Other Names"":"" Cover""}",Yes,EAR99,85366990,https://conec.com/catalog/en/download/download/drawing/?sku=17-101720,,USB 2.0 - IP67 Connector System
5,www.digikey.com/photos/Conec%20Photos/MFG_17-200161.jpg,INTERCONNECT,"Connectors, Interconnects","USB, DVI, HDMI Connectors - Adapters",17-200161,ADAPTER USB A RCPT TO USB A RCPT,CONEC,Bag,Lead time,10 Weeks,,10,10,,"{""Convert From (Adapter End)"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Convert To (Adapter End)"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Mounting Type"":"" USB-A (USB TYPE-A)"","" Receptacle"","" RoHS Status"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Moisture Sensitivity Level (MSL)"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Standard Package"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Other Names"":"" USB-A (USB TYPE-A)"","" Receptacle""}",Yes,EAR99,85366990,,,USB 2.0 - IP67 Connector System
6,www.digikey.com/Photos/Conec%20Photos/43-01005.jpg,INTERCONNECT,Cable Assemblies,Circular Cable Assemblies,43-01005,CBL FMALE TO WIRE LEAD 8P 1.64,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""1st Connector Type"":"" Plug"","" 1st Connector Gender"":"" Plug"","" 1st Connector Number of Positions"":"" Plug"","" 1st Connector Number of Positions Loaded"":"" Plug"","" 1st Connector Shell Size - Insert"":"" Plug"","" 1st Connector Orientation"":"" Plug"","" 1st Connector Mounting Type"":"" Plug"","" 2nd Connector Type"":"" Plug"","" 2nd Connector Gender"":"" Plug"","" 2nd Connector Number of Positions"":"" Plug"","" 2nd Connector Number of Positions Loaded"":"" Plug"","" 2nd Connector Shell Size - Insert"":"" Plug"","" 2nd Connector Orientation"":"" Plug"","" 2nd Connector Mounting Type"":"" Plug"","" Length"":"" Plug"","" Assembly Configuration"":"" Plug"","" Cable Type"":"" Plug"","" Cable Material"":"" Plug"","" Color"":"" Plug"","" Shielding"":"" Plug"","" Ingress Protection"":"" Plug"","" Usage"":"" Plug"","" RoHS Status"":"" Plug"","" Moisture Sensitivity Level (MSL)"":"" Plug"","" Standard Package"":"" Plug"","" Other Names"":"" Plug""}",Yes,EAR99,85444999,https://conec.com/catalog/en/download/download/drawing/?sku=43-01003,,
7,www.digikey.com/photos/Cornell%20Dubilier%20Photos/MFG_17-10002.jpg,INTERCONNECT,"Connectors, Interconnects",Modular Connectors - Accessories,17-10002,CONN CAP FOR RJ45 CONNECTORS,CONEC,Bag,Lead time,10 Weeks,,10,10,,"{""Accessory Type"":"" Cap (Cover)"","" For Use With/Related Products"":"" Cap (Cover)"","" Features"":"" Cap (Cover)"","" Color"":"" Cap (Cover)"","" RoHS Status"":"" Cap (Cover)"","" Moisture Sensitivity Level (MSL)"":"" Cap (Cover)"","" Standard Package"":"" Cap (Cover)"","" Other Names"":"" Cap (Cover)""}",Yes,EAR99,85366990,,,USB 2.0 - IP67 Connector System
8,www.digikey.com/photos/Conec%20Photos/MFG_17-200431.jpg,INTERCONNECT,"Connectors, Interconnects","USB, DVI, HDMI Connectors - Adapters",17-200431,ADAPTER USB A RCPT TO USB A RCPT,CONEC,Bag,Lead time,10 Weeks,,10,10,,"{""Convert From (Adapter End)"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Convert To (Adapter End)"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Mounting Type"":"" USB-A (USB TYPE-A)"","" Receptacle"","" RoHS Status"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Moisture Sensitivity Level (MSL)"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Standard Package"":"" USB-A (USB TYPE-A)"","" Receptacle"","" Other Names"":"" USB-A (USB TYPE-A)"","" Receptacle""}",Yes,EAR99,85366990,https://conec.com/catalog/en/download/download/drawing/?sku=17-200431,,
9,www.digikey.com/Photos/Conec%20Photos/17-10020.jpg,INTERCONNECT,"Connectors, Interconnects",Modular Connectors - Adapters,17-10020,CONN MOD COUPLER 8P8C TO 8P8C,CONEC,Bag,Lead time,10 Weeks,,10,10,,"{""Convert From (Adapter End)"":"" Jack"","" 8p8c (RJ45)"","" Convert To (Adapter End)"":"" Jack"","" 8p8c (RJ45)"","" Type"":"" Jack"","" 8p8c (RJ45)"","" Features"":"" Jack"","" 8p8c (RJ45)"","" Ingress Protection"":"" Jack"","" 8p8c (RJ45)"","" Mounting Type"":"" Jack"","" 8p8c (RJ45)"","" Mounting Feature"":"" Jack"","" 8p8c (RJ45)"","" Ratings"":"" Jack"","" 8p8c (RJ45)"","" Shielding"":"" Jack"","" 8p8c (RJ45)"","" Shell Material"","" Finish"":"" Jack"","" 8p8c (RJ45)"","" Contact Finish"":"" Jack"","" 8p8c (RJ45)"","" Contact Finish Thickness"":"" Jack"","" 8p8c (RJ45)"","" Contact Material"":"" Jack"","" 8p8c (RJ45)"","" Housing Material"":"" Jack"","" 8p8c (RJ45)"","" Shield Material"":"" Jack"","" 8p8c (RJ45)"","" Operating Temperature"":"" Jack"","" 8p8c (RJ45)"","" RoHS Status"":"" Jack"","" 8p8c (RJ45)"","" Moisture Sensitivity Level (MSL)"":"" Jack"","" 8p8c (RJ45)"","" Standard Package"":"" Jack"","" 8p8c (RJ45)"","" Other Names"":"" Jack"","" 8p8c (RJ45)""}",Yes,EAR99,85366990,,,
10,www.digikey.com/Photos/Conec%20Photos/17-300240.jpg,INTERCONNECT,"Connectors, Interconnects",Fiber Optic Connectors - Adapters,17-300240,CONN COUPLER RCPT LC-LC DUPLEX,CONEC,Bag,Lead time,10 Weeks,,10,10,,"{""Type"":"" Coupler"","" Convert From (Adapter End)"":"" Coupler"","" Convert To (Adapter End)"":"" Coupler"","" Simplex/Duplex"":"" Coupler"","" Mode"":"" Coupler"","" Mounting Type"":"" Coupler"","" Housing Material"":"" Coupler"","" Ferrule Material"":"" Coupler"","" Features"":"" Coupler"","" Color"":"" Coupler"","" Material Flammability Rating"":"" Coupler"","" Ingress Protection"":"" Coupler"","" Operating Temperature"":"" Coupler"","" RoHS Status"":"" Coupler"","" Moisture Sensitivity Level (MSL)"":"" Coupler"","" Standard Package"":"" Coupler"","" Other Names"":"" Coupler""}",Yes,EAR99,85366990,,,Fiber-Optic LC Connectors
