Sr. no,Product Photo,Group Category ,Product Category ,Product Sub-Category,Manufacturer Part No,Short Description,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1,//media.digikey.com/Photos/Hirose%20Elect%20Photos/ZX40-B-5S-500-STDA%2830%29.jpg,Interconnect,Cable Assemblies,USB Cables,ZX40-B-5S-500-STDA(30),CABLE MICRO USB B TO STD A 0.5M,"HIROSE ELECTRIC CO., LTD.",Bag,Lead time ,,,10,10,,"{’Configuration’: ’Quantity’, ’Length’: ’Quantity’, ’Specifications’: ’Quantity’, ’Wire Gauge’: ’Quantity’, ’Shielding’: ’Quantity’, ’Color’: ’Quantity’, ’Style’: ’Quantity’, ’RoHS Status’: ’Quantity’, ’Moisture Sensitivity Level (MSL)’: ’Quantity’, ",Yes,EAR99,85444220,https://www.hirose.com/product/document?clcode=CL0242-0056-3-30&productname=ZX62D-B-5PA8(30)&series=ZX&documenttype=Catalog&lang=en&documentid=D31704_en,,
2,//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_DX40LM-14P-xxxCV.jpg,Interconnect,Cable Assemblies,Between Series Adapter Cables,DX40LM-14P-300CV,D-SUB TO AUDIO CONNECTOR 14POS,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’Connector Type’: ’Centronics 14 pos Male to Phono (RCA) Plug (3)’, ’Length’: ’Centronics 14 pos Male to Phono (RCA) Plug (3)’, ’Cable Type’: ’Centronics 14 pos Male to Phono (RCA) Plug (3)’, ’Color’: ’Centronics 14 pos Male to Phono (RCA) Plug (3)’",No,EAR99,85444220,,,
3,//media.digikey.com/photos/Hirose%20Elect%20Photos/UX40-MB-5PP-500-1002.jpg,Interconnect,Cable Assemblies,USB Cables,UX40-MB-5PP-500-1002,CABLE MINI USB2.0 PLUG-PLUG .5M,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’Configuration’: ’Mini B Male to Mini B Male’, ’Length’: ’Mini B Male to Mini B Male’, ’Specifications’: ’Mini B Male to Mini B Male’, ’Wire Gauge’: ’Mini B Male to Mini B Male’, ’Shielding’: ’Mini B Male to Mini B Male’, ’Color’: ’Mini B Male to Mi",Yes,EAR99,85444220,,,
4,//media.digikey.com/photos/Hirose%20Elect%20Photos/HIROSE%20ELECTRIC%20CO%20LTD-UX40-MB-5PA-1000-2003.jpg,Interconnect,Cable Assemblies,USB Cables,UX40-MB-5PA-1000-2003,CABLE USB2.0 MINI PLUG-A PLUG 1M,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’Configuration’: ’A Male to Mini B Male’, ’Length’: ’A Male to Mini B Male’, ’Specifications’: ’A Male to Mini B Male’, ’Wire Gauge’: ’A Male to Mini B Male’, ’Shielding’: ’A Male to Mini B Male’, ’Color’: ’A Male to Mini B Male’, ’Style’: ’A Male t",Yes,EAR99,85444220,https://www.hirose.com/product/document?clcode=&productname=&series=UX&documenttype=Catalog&lang=en&documentid=D31610_en,,
5,//media.digikey.com/Photos/Hirose%20Elect%20Photos/ZX40-B-5S-1000-STDA.jpg,Interconnect,Cable Assemblies,USB Cables,ZX40-B-5S-500-STDA,CABLE MICRO USB B TO STD A 0.5M,"HIROSE ELECTRIC CO., LTD.",Bag,Lead time ,,,100,100,,"{’Configuration’: ’A Male to Micro B Male’, ’Length’: ’A Male to Micro B Male’, ’Specifications’: ’A Male to Micro B Male’, ’Wire Gauge’: ’A Male to Micro B Male’, ’Shielding’: ’A Male to Micro B Male’, ’Color’: ’A Male to Micro B Male’, ’Style’: ’A ",,EAR99,85444220,,,ZX Series
6,//media.digikey.com/Photos/Hirose%20Elect%20Photos/ZX40-B-5S-1000-STDA.jpg,Interconnect,Cable Assemblies,USB Cables,ZX40-B-5S-1000-STDA,CABLE MICRO USB B TO STD A 1.0M,"HIROSE ELECTRIC CO., LTD.",Bag,Lead time ,,,100,100,,"{’Configuration’: ’A Male to Micro B Male’, ’Length’: ’A Male to Micro B Male’, ’Specifications’: ’A Male to Micro B Male’, ’Wire Gauge’: ’A Male to Micro B Male’, ’Shielding’: ’A Male to Micro B Male’, ’Color’: ’A Male to Micro B Male’, ’Style’: ’A ",,EAR99,85444220,,,ZX Series
7,//media.digikey.com/Photos/Hirose%20Elect%20Photos/ZX40-B-5S-1000-STDA.jpg,Interconnect,Cable Assemblies,USB Cables,ZX40-B-5S-1500-STDA,CABLE MICRO USB B TO STD A 1.5M,"HIROSE ELECTRIC CO., LTD.",Bag,Lead time ,,,100,100,,"{’Configuration’: ’A Male to Micro B Male’, ’Length’: ’A Male to Micro B Male’, ’Specifications’: ’A Male to Micro B Male’, ’Wire Gauge’: ’A Male to Micro B Male’, ’Shielding’: ’A Male to Micro B Male’, ’Color’: ’A Male to Micro B Male’, ’Style’: ’A ",,EAR99,85444220,,,ZX Series
8,//media.digikey.com/photos/Hirose%20Elect%20Photos/TM11P-88PP-KSFNC1225.jpg,Interconnect,Cable Assemblies,Modular Cables,TM11P-88PP-KSFNC1225,CABLE MOD 8P8C PLUG TO PLUG 4’,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,20,20,,"{’Cable Type’: ’-’, ’Connector Type’: ’-’, ’Mounting Type’: ’-’, ’Number of Positions/Contacts’: ’-’, ’Length’: ’-’, ’Shielding’: ’-’, ’Color’: ’-’, ’Features’: ’-’, ’Style’: ’-’, ’RoHS Status’: ’-’, ’Moisture Sensitivity Level (MSL)’: ’-’, ’Standard",No,EAR99,85444220,,,
9,//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_DX40LM-14P-xxxCV%2850%29.jpg,Interconnect,Cable Assemblies,Between Series Adapter Cables,DX40LM-14P-150CV(50),D-SUB TO AUDIO CONNECTOR 14POS,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’Connector Type’: ’Centronics 14 pos Male to Phono (RCA) Plug (3)’, ’Length’: ’Centronics 14 pos Male to Phono (RCA) Plug (3)’, ’Cable Type’: ’Centronics 14 pos Male to Phono (RCA) Plug (3)’, ’Color’: ’Centronics 14 pos Male to Phono (RCA) Plug (3)’",,EAR99,85444220,,,
10,//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_DX40LM-14P-xxxCV%2850%29.jpg,Interconnect,Cable Assemblies,Between Series Adapter Cables,DX40LM-14P-300CV(50),D-SUB TO AUDIO CONNECTOR 14POS,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’Connector Type’: ’Centronics 14 pos Male to Phono (RCA) Plug (3)’, ’Length’: ’Centronics 14 pos Male to Phono (RCA) Plug (3)’, ’Cable Type’: ’Centronics 14 pos Male to Phono (RCA) Plug (3)’, ’Color’: ’Centronics 14 pos Male to Phono (RCA) Plug (3)’",Yes,EAR99,85444220,,,
