Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1,https://www.digikey.com/Photos/Taoglas/MFG_SPKA.46.8.B.jpg,Wireless & Memory,Audio Products,Speakers,SPKA.46.8.B,"4X6"" SPEAKER FOAM GASKET 8 OHM W",TAOGLAS,Box,Lead time,16 Weeks,,1,1,,"{""Technology"":"" Magnetic"","" Type"":"" General Purpose"","" Frequency Range"":"" 10Hz ~ 20kHz"","" Frequency - Self Resonant"":"" -"","" Impedance"":"" 8 Ohms"","" Efficiency - dBA"":"" 3000"","" Efficiency - Testing"":"" -"","" Efficiency - Type"":"" Sound Pressure Level (SPL)"","" Power - Rated"":"" 25W"","" Power - Max"":"" 50W"","" Port Location"":"" Top"","" Shape"":"" Oval"","" Rectangular Frame"","" Material - Cone"":"" -"","" Material - Magnet"":"" -"","" Ingress Protection"":"" -"","" Ratings"":"" -"","" Termination"":"" Connector"","" Size / Dimension"":"" 6220"" L x 4213"" W (15800mm x 10700mm)"","" Height - Seated (Max)"":"" 2205"" (5600mm)"","" Operating Temperature"":"" -40C ~ 85C"","" Distortion Rating"":"" -"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 931-SPKA468B""}",Yes,EAR99,,https://cdn3.taoglas.com/datasheets/SPKA.46.8.B.pdf,,
2,https://www.digikey.com/Photos/Taoglas/MFG_SPKR.10.4.A.jpg,Wireless & Memory,Audio Products,Speakers,SPKR.10.4.A,"SUBWOOFER 10"" SPEAKER 4 OHM",TAOGLAS,Box,Lead time,16 Weeks,,1,1,,"{""Technology"":"" Magnetic"","" Type"":"" Subwoofer"","" Frequency Range"":"" 20Hz ~ 20kHz"","" Frequency - Self Resonant"":"" -"","" Impedance"":"" 4 Ohms"","" Efficiency - dBA"":"" -"","" Efficiency - Testing"":"" -"","" Efficiency - Type"":"" Sound Pressure Level (SPL)"","" Power - Rated"":"" 80W"","" Power - Max"":"" 160W"","" Port Location"":"" Top"","" Shape"":"" Round"","" Material - Cone"":"" -"","" Material - Magnet"":"" -"","" Ingress Protection"":"" -"","" Ratings"":"" -"","" Termination"":"" Solder Eyelet(s)"","" Size / Dimension"":"" 10079"" Dia (25600mm)"","" Height - Seated (Max)"":"" 4567"" (11600mm)"","" Operating Temperature"":"" -40C ~ 85C"","" Distortion Rating"":"" -"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 1"","" Other Names"":"" 931-SPKR104A""}",Yes,EAR99,,https://cdn3.taoglas.com/datasheets/SPKR.10.4.A.pdf,,
3,https://www.digikey.com/Photos/Taoglas/MFG_CAB.X06.jpg,Wireless & Memory,RF/IF and RFID,RF Accessories,CAB.X06,CBL ASSY SMAF TO M CFD200 2000MM,TAOGLAS,Bag,Lead time,16 Weeks,,1,1,,"{""Accessory Type"":"" Antenna Mounting Base"","" For Use With/Related Products"":"" Antennas or Video Cameras"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 1"","" Other Names"":"" 931-1368""}",Yes,EAR99,85437099,https://cdn.taoglas.com/datasheets/CAB.X06.pdf,,
4,https://www.digikey.com/Photos/Taoglas/MFG_CAB.X07.jpg,Wireless & Memory,RF/IF and RFID,RF Accessories,CAB.X07,CBL ASSY SMAF TO M CFD200 5000MM,TAOGLAS,Bag,Lead time,16 Weeks,,1,1,,"{""Accessory Type"":"" Antenna Mounting Base"","" For Use With/Related Products"":"" Antennas or Video Cameras"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 1"","" Other Names"":"" 931-1369""}",Yes,EAR99,85437099,https://cdn.taoglas.com/datasheets/CAB.X07.pdf,,
5,https://www.digikey.com/Photos/Taoglas/MFG_CAB.X02.jpg,Wireless & Memory,RF/IF and RFID,RF Accessories,CAB.X02,CBL ASSY SMAF TO M CFD200 2000MM,TAOGLAS,Bag,Lead time,16 Weeks,,1,1,,"{""Accessory Type"":"" Antenna Mounting Base"","" For Use With/Related Products"":"" Antennas or Video Cameras"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 1"","" Other Names"":"" 931-1365""}",Yes,EAR99,85437099,https://cdn.taoglas.com/datasheets/CAB.X02.pdf,,
6,https://www.digikey.com/Photos/Taoglas/MFG_SPKR.6.4.A.jpg,Wireless & Memory,Audio Products,Speakers,SPKR.6.4.A,"6"" SPEAKER ROUND 4OHMS WITH PACK",TAOGLAS,Tray,Lead time,16 Weeks,,10,10,,"{""Technology"":"" Magnetic"","" Type"":"" General Purpose"","" Frequency Range"":"" 10Hz ~ 20kHz"","" Frequency - Self Resonant"":"" -"","" Impedance"":"" 4 Ohms"","" Efficiency - dBA"":"" 3000"","" Efficiency - Testing"":"" -"","" Efficiency - Type"":"" Sound Pressure Level (SPL)"","" Power - Rated"":"" 30W"","" Power - Max"":"" 50W"","" Port Location"":"" Top"","" Shape"":"" Round"","" Material - Cone"":"" -"","" Material - Magnet"":"" -"","" Ingress Protection"":"" -"","" Ratings"":"" -"","" Termination"":"" Connector"","" Size / Dimension"":"" 6220"" Dia (15800mm)"","" Height - Seated (Max)"":"" 2126"" (5400mm)"","" Operating Temperature"":"" -40C ~ 85C"","" Distortion Rating"":"" -"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 10"","" Other Names"":"" 931-SPKR64A""}",Yes,EAR99,,https://cdn3.taoglas.com/datasheets/SPKR.6.4.A.pdf,,
7,https://www.digikey.com/Photos/Taoglas/MFG_SPKR.6.8.A.jpg,Wireless & Memory,Audio Products,Speakers,SPKR.6.8.A,"6"" FULL RANGE SPEAKER ROUND 8 OH",TAOGLAS,Tray,Lead time,16 Weeks,,10,10,,"{""Technology"":"" Magnetic"","" Type"":"" General Purpose"","" Frequency Range"":"" 10Hz ~ 20kHz"","" Frequency - Self Resonant"":"" -"","" Impedance"":"" 8 Ohms"","" Efficiency - dBA"":"" 3000"","" Efficiency - Testing"":"" -"","" Efficiency - Type"":"" Sound Pressure Level (SPL)"","" Power - Rated"":"" 30W"","" Power - Max"":"" 60W"","" Port Location"":"" Top"","" Shape"":"" Round"","" Material - Cone"":"" -"","" Material - Magnet"":"" -"","" Ingress Protection"":"" -"","" Ratings"":"" -"","" Termination"":"" Connector"","" Size / Dimension"":"" -"","" Height - Seated (Max)"":"" 2520"" (6400mm)"","" Operating Temperature"":"" -40C ~ 85C"","" Distortion Rating"":"" -"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 10"","" Other Names"":"" 931-SPKR68A""}",Yes,EAR99,,https://cdn3.taoglas.com/datasheets/SPKR.6.8.A.pdf,,
8,https://www.digikey.com/Photos/Taoglas/MFG_FXR.01.07.0100C.A.jpg,Wireless & Memory,RF/IF and RFID,RFID Antennas,FXR.01.07.0100C.A,RFID ANTENNA FLEX READER MHFI,TAOGLAS,Bulk,Lead time,16 Weeks,,10,10,,"{""Frequency"":"" 1356MHz"","" Features"":"" Near Field Communications (NFC)"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 10"","" Other Names"":"" 931-1242""}",Yes,EAR99,85437099,https://cdn.taoglas.com/datasheets/FXR.01.07.0100C.A.pdf,,
9,https://www.digikey.com/Photos/Taoglas/MFG_CAB.X05.jpg,Wireless & Memory,RF/IF and RFID,RF Accessories,CAB.X05,CBL ASSY SMAF TO M CFD200 1000MM,TAOGLAS,Bag,Lead time,16 Weeks,,1,1,,"{""Accessory Type"":"" Antenna Mounting Base"","" For Use With/Related Products"":"" Antennas or Video Cameras"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" California Prop 65"":"" "","" Standard Package"":"" 1"","" Other Names"":"" 931-1367""}",Yes,EAR99,85437099,https://cdn.taoglas.com/datasheets/CAB.X05.pdf,,
10,https://www.digikey.com/Photos/Taoglas/MFG_CC.001.jpg,Wireless & Memory,RF/IF and RFID,RF Accessories,CC.001,CC.001 SMT C-CLIP CONNECTOR,TAOGLAS,Tape and Reel,Lead time,16 Weeks,,"2,500","2,500",,"{""Accessory Type"":"" C-Clip Connector"","" For Use With/Related Products"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 3  (168 Hours)"","" California Prop 65"":"" "","" Standard Package"":"" 2"",""500"","" Other Names"":"" 931-1584-2""}",Yes,EAR99,85437099,https://cdn.taoglas.com/datasheets/CC.001.pdf,,
