Sr. no,Product Photo,Group Category,Product Category,Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
200,,Interconnect,Board-to-Board,Headers & Receptacles,BM28B0.6-30DP/2-0.35V(51),,"HIROSE ELECTRIC CO., LTD.",Reel,Lead Time,21 Weeks,20000,20000,,,Yes,EAR99,85367000,https://www.hirose.com/en/product/document?clcode=&productname=&series=BM28&documenttype=Catalog&lang=en&documentid=D143865_en,JP,BM28
201,,Interconnect,Board-to-Board,Headers & Receptacles,DF12NC(3.0)-20DS-0.5V(51),,"HIROSE ELECTRIC CO., LTD.",Reel,Lead Time,27 Weeks,1000,1000,,,Yes,EAR99,85367000,https://www.hirose.com/en/product/document?clcode=&productname=&series=DF12N&documenttype=Catalog&lang=en&documentid=ed_DF12N_20200819,JP,DF12N
202,,Interconnect,Board-to-Board,Power & Signals,FX30B-2S-3.81DS,,"HIROSE ELECTRIC CO., LTD.",Tray ,Lead Time,21 Weeks,35,35,,,Yes,EAR99,85367000,https://www.hirose.com/en/product/document?clcode=&productname=&series=FX30&documenttype=Catalog&lang=en&documentid=D49375_en,JP,FX30
203,,Interconnect,Board-to-Board,Power & Signals,FX23-60P-0.5SV15,,"HIROSE ELECTRIC CO., LTD.",Tray ,Lead Time,21 Weeks,84,84,,,Yes,EAR99,85367000,https://www.hirose.com/en/product/document?clcode=&productname=&series=FX23&documenttype=Catalog&lang=en&documentid=D141086_en,JP,FX23
207,,Interconnect,Board-to-Wire,Descrite Wire,DF13-6P-1.25DSA(75),,"HIROSE ELECTRIC CO., LTD.",Tube,Lead Time,27 Weeks,52,520,,,Yes,EAR99,85367000,https://www.hirose.com/en/product/document?clcode=&productname=&series=DF13&documenttype=Catalog&lang=en&documentid=D31687_en,JP,DF13
208,,Interconnect,Board-to-Wire,Descrite Wire,DF51K-5S-2C(800),,"HIROSE ELECTRIC CO., LTD.",Reel,Lead Time,27 Weeks,100,1000,,,Yes,EAR99,85367000,https://www.hirose.com/en/product/document?clcode=&productname=&series=DF51K&documenttype=Catalog&lang=en&documentid=D176369_en,JP,DF51K
210,,Interconnect,Board-to-Wire,Shielded-Cable,GT17VSA-6DS-HU,,"HIROSE ELECTRIC CO., LTD.",Tray ,Lead Time,21 Weeks,1500,1500,,,Yes,EAR99,85367000,https://www.hirose.com/en/product/document?clcode=&productname=&series=GT17&documenttype=Catalog&lang=en&documentid=en_GT17_CAT,JP,GT25
211,,Interconnect,Board-to-Wire,Shielded-Cable,MQ172-4S/CK-MP,,"HIROSE ELECTRIC CO., LTD.",Tray ,Lead Time,21 Weeks,1000,1000,,,Yes,EAR99,85367000,https://www.hirose.com/en/product/document?clcode=&productname=&series=MQ172&documenttype=Catalog&lang=en&documentid=D49711_en,JP,MQ172
215,,Interconnect,Wire-to-Wire,Internal Connection,DF62W-4S-2.2C,,"HIROSE ELECTRIC CO., LTD.",Tray ,Lead Time,21 Weeks,1000,1000,,,Yes,EAR99,85367000,https://www.hirose.com/en/product/document?clcode=&productname=&series=DF62&documenttype=Catalog&lang=en&documentid=D49347_en,JP,DF62 
216,,Interconnect,Wire-to-Wire,Internal Connection,DF1E-05EP-2.5C,,"HIROSE ELECTRIC CO., LTD.",Tube,Lead Time,27 Weeks,1000,1000,,,Yes,EAR99,85367000,https://www.hirose.com/en/product/document?clcode=&productname=&series=DF1E&documenttype=Catalog&lang=en&documentid=D49651_en,JP,DF1E
