Sr. no,Product Photo,Group Category,Product Category,Sub-Category,MPN,Product Description ,MFR,Available packaging,Stock Status,Lead Time,Qty MIN,Qty MULTI,Technical Specification,ROHS,ECCN #,HSCode,Datasheet Link,COO,Series
25,,Electromechanical Components,Switches,DIP Switch,IKD0200000,DIP Switch,APEM (AN IDEC COMPANY),T&R/Tube,Lead Time,,,,,Yes,EAR 99,,,,IKD
26,,Electromechanical Components,Switches,DIP Switch,NDS-01T-V,Slide DIP Switch - Through-hole,APEM (AN IDEC COMPANY),T&R/Tube,,,,,,Yes,EAR 99,,,,NDS
27,,Electromechanical Components,Switches,Industrial Control,A2PFA1X0304H137,Industrial controls switches,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/int/index.php?controller=attachment&id_attachment=1126,FR,A2
28,,Electromechanical Components,Switches,Industrial Control,ES1S41253,Heavy-duty emergency stop,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=792,FR,ES
29,,Electromechanical Components,Switches,Keylock switches ,LK5BNB126-N3,Keylock Switches,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/int/index.php?controller=attachment&id_attachment=943,FR,LK
30,,Electromechanical Components,Switches,Keylock switches ,LK6SGB126-M3,Keylock Switches,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/int/index.php?controller=attachment&id_attachment=943,FR,LK
31,,Electromechanical Components,Switches,Pushbutton switches,104350723,Professional pushbutton switches - threaded bushing diam 10mm (393),APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/uk/index.php?controller=attachment&id_attachment=950,FR,10400
32,,Electromechanical Components,Switches,Pushbutton switches,13245-9X778,"High performance pushbutton switches - threaded bushing diam 11,9 (15/32)",APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/int/index.php?controller=attachment&id_attachment=952,FR,13000X778
33,,Electromechanical Components,Switches,Rocker & Paddle switches,2631LH/2A200000L0,Power rocker switches,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/int/index.php?controller=attachment&id_attachment=901,FR,2600
34,,Electromechanical Components,Switches,Rocker & Paddle switches,KR314AXLXD22N29XXXX,Power rocker switches,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/int/index.php?controller=attachment&id_attachment=1841,FR,KR
35,,Electromechanical Components,Switches,Slide switches,25136NLDB,Professional slide switches,APEM (AN IDEC COMPANY),,,,,,,Yes,EAR 99,,https://www.apem.com/int/index.php?controller=attachment&id_attachment=858,FR,25000N
36,,Electromechanical Components,Switches,Slide switches,NK236WH,Subminiature slide switches,APEM (AN IDEC COMPANY),,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=1746,,NK
37,,Electromechanical Components,Switches,Tact Switches,PHAP5-30RA2K3S2N4,Tact switches 6 x 6 mm,APEM (AN IDEC COMPANY),T&R/Tube,,,,,,Yes,EAR 99,,https://www.apem.com/int/index.php?controller=attachment&id_attachment=659,,PHAP5-30
38,,Electromechanical Components,Switches,Tact Switches,TL46W010000,Tiny washable toggle switches,APEM (AN IDEC COMPANY),,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=863,,TL 
39,,Electromechanical Components,Switches,Toggle switches,3547-003B002,High performance toggle switches - environmentally sealed,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=757,FR,3500
40,,Electromechanical Components,Switches,Navigator,NVH1D1C0CP2S,Switch based miniature joystick,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=786,FR,NV 
41,,Electromechanical Components,Keyboard ,PCB-Based Keyboard,KP6E1NJ3WNG3009,CAN Bus keypad,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=794,,KP6
42,,Electromechanical Components,Keyboard ,PCB-Based Keyboard,KP6E1NJ3WNCC021,CAN Bus keypad,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=794,,KP6
43,,Electromechanical Components,Joystick ,Thumb Operated,HS6A14GA,Sealed micro switch based thumbstick,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=1207,US,HS
44,,Electromechanical Components,Joystick ,Hand Grip,CJN0NR013N,Hand grip Hall effect joystick,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=1650,US,CJ
45,,Electromechanical Components,Joystick ,Hand Grip,XDGTT2LNNCYYGAN,Multi-axis Hand Grip controller,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=1471,US,XD
46,,Electromechanical Components,Joystick ,Thumb Operated,CWB1BK1A02A0,Miniature Hall effect thumbwheel,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=1263,US,CW
47,,Electromechanical Components,Joystick ,Thumb Operated,TS1N1P09A,Miniature Hall effect thumbstick,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=1229,US,TS
48,,Electromechanical Components,Joystick ,Thumb Operated,CWB1BK1A01A0,Miniature Hall effect thumbwheel,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=1471,US,CW
49,,Electromechanical Components,Joystick ,Finger Tip to Mid Sized,1D11H1500,1000 Series - Compact Switch Joystick,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=924,UK,1000
50,,Electromechanical Components,Joystick ,Finger Tip to Mid Sized,NZZA0593,Miniature Microswitch Joystick,APEM (AN IDEC COMPANY),Bulk,,,,,,Yes,EAR 99,,https://www.apem.com/us/index.php?controller=attachment&id_attachment=1501,UK,NZ
