Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1,,Passive Components,"Development Boards, Kits, Programmers",Evaluation and Demonstration Boards and Kits,D0001636-4G-2400,MCP DEVELOPMENT BOARD,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Type"":"" Memory"","" Function"":"" *"","" Embedded"":"" -"","" Utilized IC / Part"":"" -"","" Primary Attributes"":"" -"","" Supplied Contents"":"" Board(s)"","" Secondary Attributes"":"" -"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1040""}",Yes,EAR99,,,,
2,https://www.digikey.com/Photos/Viking%20Technology/VRFUSB2064GACAMTL.JPG,Passive Components,"Memory Cards, Modules",USB Flash Drives,VRFUSB2064GACAMTL,USB FLASH DRIVE 64GB MLC USB 2.0,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Size"":"" 64GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Type"":"" USB 20"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1044""}",Yes,EAR99,85371000,,,USB Thumbdrive
3,https://www.digikey.com/Photos/Viking%20Technology/VPFEM2256GZCAMTL.JPG,Passive Components,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",VPFEM2256GZCAMTL,SSD 256GB MSATA MLC SATAIII 3.3V,VIKING TECH CORPORATION,Box,Lead time,,,80,80,,"{""Memory Size"":"" 256GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Form Factor"":"" mSATA"","" Speed - Read"":"" -"","" Speed - Write"":"" -"","" Voltage - Supply"":"" 33V"","" Type"":"" SATA III"","" Current - Max"":"" -"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 5080mm x 2985mm x 400mm"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 80"","" Other Names"":"" 1803-1010""}",Yes,EAR99,85371000,,,SlimSATA and mSATA Solid State Drivers
4,https://www.digikey.com/Photos/Viking%20Technology/VWUSD032GCE1WW3C.jpg,Passive Components,"Memory Cards, Modules",Memory Cards,VWUSD032GCE1WW3C,MEMORY CARD 32GB MICRO SD CARD,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" microSD"","" Memory Size"":"" 32GB"","" Speed"":"" Class 4"","" Technology"":"" TLC"","" Operating Temperature"":"" -25C ~ 85C"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-VWUSD032GCE1WW3C""}",Yes,EAR99,85371000,,,
5,https://www.digikey.com/Photos/Viking%20Technology/VR9FU126428HBHMBT.JPG,Passive Components,"Memory Cards, Modules",Memory - Modules,VR9FU126428HBHMBT,MODULE DDR4 SDRAM 4GB 260SODIMM,VIKING TECH CORPORATION,Box,Lead time,,,60,60,,"{""Memory Type"":"" DDR4 SDRAM"","" Memory Size"":"" 4GB"","" Speed"":"" 2133MT/s"","" Package / Case"":"" 260-SODIMM"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 60"","" Other Names"":"" 1803-1027""}",Yes,EAR99,85371000,,,DRAM Memory Modules
6,,Passive Components,Integrated Circuits (ICs),Memory,VPM9U1272S6B3PJ1MA,IC DRAM 4GBIT PARALLEL 1.2GHZ,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" Volatile"","" Memory Format"":"" DRAM"","" Technology"":"" SDRAM - DDR4"","" Memory Size"":"" 4Gb (512M x 8)"","" Memory Interface"":"" Parallel"","" Clock Frequency"":"" 12GHz"","" Voltage - Supply"":"" 12V"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" VPM9U1272S6B0PJ1MA""}",Yes,EAR99,,,,
7,https://www.digikey.com/Photos/Viking%20Technology/VNFUSB3032GCC1WT3.jpg,Passive Components,"Memory Cards, Modules",USB Flash Drives,VNFUSB3032GCC1WT3,32GB USB3.0 USB STICK,VIKING TECH CORPORATION,Box,Lead time,10 Weeks,,1,1,,"{""Memory Size"":"" 32GB"","" Memory Type"":"" FLASH - NAND (TLC)"","" Type"":"" USB 30"","" Speed - Read"":"" -"","" Speed - Write"":"" -"","" Operating Temperature"":"" 0C ~ 70C"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85371000,,,USB Flash Drive with Write-Protect
8,https://www.digikey.com/photos/Viking%20Technology/MFG_VNFUSB3064GCC5WT3.JPG,Passive Components,"Memory Cards, Modules",USB Flash Drives,VNFUSB3064GCC5WT3,64GB USB3.0 USB STICK,VIKING TECH CORPORATION,Box,Lead time,10 Weeks,,1,1,,"{""Memory Size"":"" 64GB"","" Memory Type"":"" FLASH - NAND (TLC)"","" Type"":"" USB 30"","" Speed - Read"":"" -"","" Speed - Write"":"" -"","" Operating Temperature"":"" 0C ~ 70C"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85371000,,,USB Flash Drive with Write-Protect
9,https://www.digikey.com/Photos/Viking%20Technology/MFG_M.2_Above-256GB.jpg,Passive Components,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",VPFEM6480GZCFMTL,SSD 480GB M.2 MLC SATAIII 3.3V,VIKING TECH CORPORATION,Box,Lead time,,,80,80,,"{""Memory Size"":"" 480GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Form Factor"":"" M2 Module"","" Speed - Read"":"" 560MB/s"","" Speed - Write"":"" 465MB/s"","" Voltage - Supply"":"" 33V"","" Type"":"" SATA III"","" Current - Max"":"" -"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 4200mm x 2200mm x 380mm"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 80"","" Other Names"":"" 1803-1011""}",Yes,EAR99,85371000,http://www.vikingtechnology.com/wp-content/uploads/M2SSD_ProductBrief.pdf,,M.2 Solid State Drive
10,,Passive Components,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",VPFNP5240G5I5WT3,240GB M.2 2280 PCIE,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Size"":"" 240GB"","" Memory Type"":"" FLASH - NAND (TLC)"","" Form Factor"":"" M2 Module"","" PCIe"","" Speed - Read"":"" 331GB/s"","" Speed - Write"":"" 104GB/s"","" Voltage - Supply"":"" 33V"","" Type"":"" NVMe"","" Current - Max"":"" -"","" Operating Temperature"":"" -40C ~ 85C"","" Size / Dimension"":"" 8000mm x 2200mm x 800mm"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-VPFNP5240G5I5WT3""}",Yes,EAR99,85371000,,,
11,,Passive Components,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",VPFNP5480G5IHWT3,480GB M.2 2280 PCIE,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-VPFNP5480G5IHWT3""}",Yes,EAR99,85371000,,,
12,,Passive Components,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",VPFEM2064GZCBPTL,64GB MSATA  MO300,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Size"":"" 64GB"","" Memory Type"":"" FLASH - NAND (pSLC)"","" Form Factor"":"" mSATA"","" Speed - Read"":"" -"","" Speed - Write"":"" -"","" Voltage - Supply"":"" 33V"","" Type"":"" SATA III"","" Current - Max"":"" -"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 5080mm x 2985mm x 400mm"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-VPFEM2064GZCBPTL""}",Yes,EAR99,85371000,https://www.vikingtechnology.com/wp-content/uploads/mSATA_PhisonS11_Industrial.pdf,,
13,,Passive Components,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",VPFEM2128GZCAPTL,128GB MSATA MO300,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Size"":"" 128GB"","" Memory Type"":"" FLASH - NAND (pSLC)"","" Form Factor"":"" mSATA"","" Speed - Read"":"" -"","" Speed - Write"":"" -"","" Voltage - Supply"":"" 33V"","" Type"":"" SATA III"","" Current - Max"":"" -"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 5080mm x 2985mm x 400mm"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-VPFEM2128GZCAPTL""}",Yes,EAR99,85371000,https://www.vikingtechnology.com/wp-content/uploads/mSATA_PhisonS11_Industrial.pdf,,
14,https://www.digikey.com/Photos/Viking%20Technology/MFG_VPFS22480GZCZMTL.JPG,Passive Components,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",VPFS22480GZCZMTL,"FLASH SSD 2.5"" 480GB",VIKING TECH CORPORATION,Box,Lead time,12 Weeks,,1,1,,"{""Memory Size"":"" 480GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Form Factor"":"" 25"""","" Speed - Read"":"" -"","" Speed - Write"":"" -"","" Voltage - Supply"":"" 5V"","" Type"":"" SATA III"","" Current - Max"":"" -"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 10050mm x 6985mm x 700mm"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1042""}",Yes,EAR99,85371000,,,2.5 Inch Solid State Drivers (SSDs)
15,https://www.digikey.com/Photos/Viking%20Technology/VRFS22060GTIRSTH.JPG,Passive Components,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",VRFS22060GTIRSTH,"SSD 60GB 2.5"" SLC SATAIII 5V",VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Size"":"" 60GB"","" Memory Type"":"" FLASH - NAND (SLC)"","" Form Factor"":"" 25"""","" Speed - Read"":"" -"","" Speed - Write"":"" -"","" Voltage - Supply"":"" 5V"","" Type"":"" SATA III"","" Current - Max"":"" -"","" Operating Temperature"":"" -40C ~ 85C"","" Size / Dimension"":"" 10050mm x 6985mm x 700mm"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1030""}",Yes,EAR99,85371000,,,2.5 Inch Solid State Drivers (SSDs)
16,,Passive Components,"Memory Cards, Modules",Memory Cards,VWUSD128GCEHWW3C,MEM CARD MICROSD 128GB,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" microSD"","" Memory Size"":"" 128GB"","" Speed"":"" Class 10"","" Technology"":"" TLC"","" Operating Temperature"":"" -25C ~ 85C"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-VWUSD128GCEHWW3C""}",Yes,EAR99,85371000,,,
17,,Passive Components,"Memory Cards, Modules",Memory Cards,VAFSD3064GCC5MTL,MEM CARD 64GB FULL SIZE SD CARD,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-VAFSD3064GCC5MTL""}",Yes,EAR99,85371000,,,
18,https://www.digikey.com/Photos/Viking%20Technology/MFG_microSDcard.jpg,Passive Components,"Memory Cards, Modules",Memory Cards,VPFUSD2048QIFSTH,MEM CARD MICROSD 2GB CLASS 6 SLC,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" microSD"","" Memory Size"":"" 2GB"","" Speed"":"" Class 6"","" Technology"":"" SLC"","" Operating Temperature"":"" -25C ~ 85C"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1017""}",Yes,EAR99,85371000,,,SD/microSD Cards
19,https://www.digikey.com/Photos/Viking%20Technology/MFG_microSDcard.jpg,Passive Components,"Memory Cards, Modules",Memory Cards,VPFUSD4096QIQSTH,MEM CARD MICROSD 4GB CLASS 6 SLC,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" microSD"","" Memory Size"":"" 4GB"","" Speed"":"" Class 6"","" Technology"":"" SLC"","" Operating Temperature"":"" -25C ~ 85C"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1018""}",Yes,EAR99,85371000,,,SD/microSD Cards
20,,Passive Components,"Memory Cards, Modules",Memory - Modules,VR7PU566458GBASF,MODULE DDR3 SDRAM 2GB 204SODIMM,VIKING TECH CORPORATION,Box,Lead time,,,60,60,,"{""Memory Type"":"" DDR3 SDRAM"","" Memory Size"":"" 2GB"","" Speed"":"" 1066MT/s"","" Package / Case"":"" 204-SODIMM"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 60"","" Other Names"":"" 1803-1059""}",Yes,EAR99,85371000,https://www.vikingtechnology.com/wp-content/uploads/2017/07/VIKING_DRAM_PART_NO_BOOKLET.pdf,,DRAM Memory Modules
21,https://www.digikey.com/Photos/Viking%20Technology/VR7PUXX6458ZZZ~.jpg,Passive Components,"Memory Cards, Modules",Memory - Modules,VR7PU566458GBAMKT,MODULE DDR3 SDRAM 2GB 204SODIMM,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" DDR3 SDRAM"","" Memory Size"":"" 2GB"","" Speed"":"" 1066MT/s"","" Package / Case"":"" 204-SODIMM"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1025""}",Yes,EAR99,85371000,https://www.vikingtechnology.com/wp-content/uploads/2017/07/VIKING_DRAM_PART_NO_BOOKLET.pdf,,DRAM Memory Modules
22,,Passive Components,"Memory Cards, Modules",Memory Cards,VAFSD3032GCCBMTL,MEM CARD 32GB FULL SIZE SD CARD,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-VAFSD3032GCCBMTL""}",Yes,EAR99,85371000,,,
23,https://www.digikey.com/Photos/Viking%20Technology/MFG_microSDcard.jpg,Passive Components,"Memory Cards, Modules",Memory Cards,VPFUSD10242QIESTH,MEM CARD MICROSD 1GB CLASS 6 SLC,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" microSD"","" Memory Size"":"" 1GB"","" Speed"":"" Class 6"","" Technology"":"" SLC"","" Operating Temperature"":"" -25C ~ 85C"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1016""}",Yes,EAR99,85371000,,,SD/microSD Cards
24,https://www.digikey.com/Photos/Viking%20Technology/VR7PUXX6458ZZZ~.jpg,Passive Components,"Memory Cards, Modules",Memory - Modules,VR7PU286458FBAMJT,MODULE DDR3 SDRAM 1GB 204SODIMM,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" DDR3 SDRAM"","" Memory Size"":"" 1GB"","" Speed"":"" 1066MT/s"","" Package / Case"":"" 204-SODIMM"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1024""}",Yes,EAR99,85371000,https://www.vikingtechnology.com/wp-content/uploads/2017/07/VIKING_DRAM_PART_NO_BOOKLET.pdf,,DRAM Memory Modules
25,https://www.digikey.com/Photos/Viking%20Technology/VR7PU127298HBDMET.JPG,Passive Components,"Memory Cards, Modules",Memory - Modules,VR7PU127298HBDMET,MODULE DDR3 SDRAM 4GB 204SODIMM,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" DDR3 SDRAM"","" Memory Size"":"" 4GB"","" Speed"":"" 1333MT/s"","" Package / Case"":"" 204-SODIMM"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1022""}",Yes,EAR99,85371000,,,DRAM Memory Modules
